#,Target Field,Order,Condition,Result,Else/Default,Source Fields,Notes
46,IS_ISG_INVOLVED,1,"ISG_CATEGORY present OR ISG_REASONS_WHY_INFORMATION_SHARING_WAS_REQUESTED_LIST present OR ISG_REASONS_WHY_INFORMATION_SHARING_WAS_REFUSED_LIST present OR ISG_EXTERNAL_ORGANISATION_INVOLVED present",TRUE,FALSE,"ISG_CATEGORY; ISG_REASONS_WHY_INFORMATION_SHARING_WAS_REQUESTED_LIST; ISG_REASONS_WHY_INFORMATION_SHARING_WAS_REFUSED_LIST; ISG_EXTERNAL_ORGANISATION_INVOLVED","Information Sharing Guidelines involvement."
47,IS_PATIENT_SAFETY_HUDDLE_HELD,1,"PATIENT_SAFETY_HUDDLE_DATE present",TRUE,FALSE,"PATIENT_SAFETY_HUDDLE_DATE","Huddle conducted."
48,HAS_CLUSTER_REVIEW,1,"REVIEW_CLUSTER present",TRUE,FALSE,"REVIEW_CLUSTER","Cluster title recorded."
49,BLOOD_TRANSFUSION_OCCURRED_FLAG,1,"BLOOD_TRANSFUSION_DATE present OR BLOOD_TIME_TRANSFUSION_COMMENCED present",TRUE,FALSE,"BLOOD_TRANSFUSION_DATE; BLOOD_TIME_TRANSFUSION_COMMENCED","Any transfusion timing recorded."
50,SECURITY_ANY_WORKER_HARM,1,"SECURITY_WORKER_HARMED_DURING_THIS_SECURITY_INCIDENT = TRUE",TRUE,FALSE,"SECURITY_WORKER_HARMED_DURING_THIS_SECURITY_INCIDENT","Worker harm in security event."
51,SECURITY_ANY_PATIENT_INVOLVED,1,"SECURITY_PATIENT_INVOLVED = TRUE",TRUE,FALSE,"SECURITY_PATIENT_INVOLVED","Patient involved in security event."
52,OD_DISCLOSURE_PATH_CONFIRMED,1,"IS_OPEN_DISCLOSURE_OCCURRED = TRUE AND OPEN_DISCLOSURE_PATHWAY <> 'NONE'",TRUE,FALSE,"DISCLOSED_TO_THE_PATIENT_FAMILY; PATIENT_FAMILY_CARER_BEEN_INFORMED_OF_THE_INCIDENT; LEVEL_OD_PROCESS_WAS_USED","Consistency check between occurrence and level."
53,HAS_DEVICE_TRACEABILITY,1,"MED_DEVICE_SERIAL_NUMBER present OR MED_DEVICE_BRAND_NAME present",TRUE,FALSE,"MED_DEVICE_SERIAL_NUMBER; MED_DEVICE_BRAND_NAME","Traceable device identifiers present."
54,IMAGING_QA_FLAG,1,"IMAGING_STUDENT = TRUE OR IMAGING_RETAKE = TRUE",TRUE,FALSE,"IMAGING_STUDENT; IMAGING_RETAKE","Quality assurance signal."
55,BLOOD_ADVERSE_REACTION_FLAG,1,"BLOOD_ADVERSE_REACTION_TO_BLOOD_PRODUCT present OR BLOOD_ADVERSE_REACTION_UNCERTAIN_AETIOLOGY_DESC present OR BLOOD_ADVERSE_REACTION_OTHER present",TRUE,FALSE,"BLOOD_ADVERSE_REACTION_TO_BLOOD_PRODUCT; BLOOD_ADVERSE_REACTION_UNCERTAIN_AETIOLOGY_DESC; BLOOD_ADVERSE_REACTION_OTHER","Adverse reaction signal."
56,STERILISATION_EVENT_FLAG,1,"Any STERILISATION_* field present (e.g., STERILISATION_BCI_LIST, STERILISATION_FAILURE_LIST, STERILISATION_OUTCOME, STERILISATION_TYPE_LIST)",TRUE,FALSE,"STERILISATION_BCI_LIST; STERILISATION_FAILURE_LIST; STERILISATION_OUTCOME; STERILISATION_TYPE_LIST","Sterilisation domain signal."
57,HAS_EPLIS_IMPACT,1,"EPLIS_CLINICIAN_ISSUES_LIST present OR EPLIS_PATIENT_OUTCOME_LIST present",TRUE,FALSE,"EPLIS_CLINICIAN_ISSUES_LIST; EPLIS_PATIENT_OUTCOME_LIST","EPLIS captured."
58,HAS_REVIEW_ACTIVITY,1,"Any of INVESTIGATION_LEAD present OR DATE_RCA_COMMENCED_DATE present OR DATE_RCA_COMMISSIONED_DATE present OR REPORT_DUE_DATE present",TRUE,FALSE,"INVESTIGATION_LEAD; DATE_RCA_COMMENCED_DATE; DATE_RCA_COMMISSIONED_DATE; REPORT_DUE_DATE","Any review metadata present."
59,NOTIFICATION_BROADCAST_FLAG,1,"OTHERS_NOTIFIED present",TRUE,FALSE,"Others_notified","Additional notifications recorded."
60,CONSEQUENCE_PRESENT_FLAG,1,"NOTIFIER_PATIENT_OUTCOME_ISR present OR NOTIFIER_OUTCOME_SAC present OR MANAGER_PATIENT_OUTCOME_ISR present",TRUE,FALSE,"NOTIFIER_PATIENT_OUTCOME_ISR; NOTIFIER_OUTCOME_SAC; MANAGER_PATIENT_OUTCOME_ISR","Any consequence/outcome captured."
