"Code","Abbrev Descrip","Logical Map","Historical Map","Sequence Number"
"30196-00","Curettage malgt lsn of skin single lsn","30195-00","30195-00",0
"30196-01","Laser to single malignant skin lesion","30195-02","30195-02",0
"30197-00","Curettage malgt lsn skin, multiple lsn","30195-01","30195-01",0
"30197-01","Laser, multiple malignant skin lesions","30195-03","30195-03",0
"30202-00","Cryotherapy, sgl malignant skin lesion","30195-04","30195-04",0
"30203-00","Cryotherapy, mult malignant skin lesions","30195-05","30195-05",0
"30210-00","Injection into skin lesion under GA","30207-00","30207-00",0
"30325-00","Excision of lymph node of neck","31423-00","31423-00",0
"30325-01","Regional excision lymph nodes of neck","31423-01","31423-01",0
"30328-00","Radical excision of lymph nodes of neck","31435-00","31435-00",0
"30332-01","Regional excision lymph nodes of axilla","30335-00","30335-00",0
"30333-00","Radical excision lymph nodes of axilla","30336-00","30336-00",0
"30338-00","Simple mastectomy, unilateral","30351-00","30351-00",0
"30338-01","Simple mastectomy w FS Bx, unilateral","30351-00","30351-00",0
"30338-02","Simple mastectomy, bilateral","30351-01","30351-01",0
"30338-03","Simple mastectomy w FS Bx, bilateral","30351-01","30351-01",0
"30342-00","Local excision of lesion of breast","30347-00","30347-00",0
"30342-01","Segmental resection of breast","30347-00","30347-00",0
"30346-00","Local excision lesion of breast w FS Bx","30347-00","30347-00",0
"30346-01","Segmental resection of breast w FS Bx","30347-00","30347-00",0
"30350-00","Partial mastectomy","30347-00","30347-00",0
"30350-01","Partial mastectomy w frozen section Bx","30347-00","30347-00",0
"30353-00","Extended simple mastectomy, Unilateral","30351-00","30351-00",0
"30353-00","Extended simple mastectomy, Unilateral","30351-00","30335-00",1
"30353-01","Extended simple mastectomy w FS Bx, unil","30351-00","30351-00",0
"30353-01","Extended simple mastectomy w FS Bx, unil","30351-00","30335-00",1
"30353-02","Extended simple mastectomy, bilateral","30351-01","30351-01",0
"30353-02","Extended simple mastectomy, bilateral","30351-01","30335-00",1
"30353-03","Extended simple mastectomy w FS Bx, bil","30351-01","30351-01",0
"30353-03","Extended simple mastectomy w FS Bx, bil","30351-01","30335-00",1
"30356-00","Subcutaneous mastectomy, unilateral","30354-00","30354-00",0
"30356-01","Subcutaneous mastectomy w FS Bx, unil","30354-00","30354-00",0
"30356-02","Subcutaneous mastectomy, bilateral","30354-01","30354-01",0
"30356-03","Subcutaneous mastectomy w FS Bx, bil","30354-01","30354-01",0
"30359-00","Modified radical mastectomy, unilateral","30351-00","30351-00",0
"30359-00","Modified radical mastectomy, unilateral","30351-00","30336-00",1
"30359-01","Modified radical mastectomy w FS Bx unil","30351-00","30351-00",0
"30359-01","Modified radical mastectomy w FS Bx unil","30351-00","30336-00",1
"30359-02","Modified radical mastectomy, bilateral","30351-01","30351-01",0
"30359-02","Modified radical mastectomy, bilateral","30351-01","30336-00",1
"30359-03","Modified radical mastectomy w FS Bx, bil","30351-01","30351-01",0
"30359-03","Modified radical mastectomy w FS Bx, bil","30351-01","30336-00",1
"30359-04","Radical mastectomy, unilateral","30351-00","30351-00",0
"30359-04","Radical mastectomy, unilateral","30351-00","30336-00",1
"30359-05","Radical mastectomy w FS Bx, unilateral","30351-00","30351-00",0
"30359-05","Radical mastectomy w FS Bx, unilateral","30351-00","30336-00",1
"30359-06","Radical mastectomy, bilateral","30351-01","30351-01",0
"30359-06","Radical mastectomy, bilateral","30351-01","30336-00",1
"30359-07","Radical mastectomy w FS Bx, bilateral","30351-01","30351-01",0
"30359-07","Radical mastectomy w FS Bx, bilateral","30351-01","30336-00",1
"30375-16","Insertion of feeding jejunostomy tube","31462-00","31462-00",0
"30427-00","Segmental resection of liver for trauma","30415-00","30415-00",0
"30428-00","Lobectomy of liver for trauma","30418-00","30418-00",0
"30430-00","Trisegmental resection liver for trauma","30421-00","30421-00",0
"30470-00","Repair of bile duct fistula","30472-01","30472-01",0
"30470-00","Repair of bile duct fistula","30472-01","30472-00",1
"31250-00","Exc giant hairy/giant compound naevus","31205-00","31205-00",0
"31250-00","Exc giant hairy/giant compound naevus","31205-00","31230-00",1
"31250-00","Exc giant hairy/giant compound naevus","31205-00","31230-01",2
"31250-00","Exc giant hairy/giant compound naevus","31205-00","31230-02",3
"31250-00","Exc giant hairy/giant compound naevus","31205-00","31230-03",4
"31250-00","Exc giant hairy/giant compound naevus","31205-00","31235-00",5
"31250-00","Exc giant hairy/giant compound naevus","31205-00","31235-01",6
"31250-00","Exc giant hairy/giant compound naevus","31205-00","31235-02",7
"31250-00","Exc giant hairy/giant compound naevus","31205-00","31230-04",8
"31250-00","Exc giant hairy/giant compound naevus","31205-00","31230-05",9
"31250-00","Exc giant hairy/giant compound naevus","31205-00","31235-03",10
"31250-00","Exc giant hairy/giant compound naevus","31205-00","31235-04",11
"31255-00","Excision of BCC / SCC of eyelid","31230-00","31230-00",0
"31255-01","Excision of BCC / SCC of nose","31230-01","31230-01",0
"31255-02","Excision of BCC / SCC of ear","31230-02","31230-02",0
"31255-03","Excision of BCC / SCC of lip","31230-03","31230-03",0
"31255-04","Excision of BCC / SCC of digit","31230-04","31230-04",0
"31255-05","Excision of BCC / SCC of genitals","31230-05","31230-05",0
"31265-00","Excision BCC / SCC of other site of head","31235-00","31235-00",0
"31265-01","Excision of BCC / SCC of neck","31235-01","31235-01",0
"31265-02","Excision of BCC / SCC of hand","31235-02","31235-02",0
"31265-03","Excision of BCC / SCC of leg","31235-03","31235-03",0
"31265-04","Excision of BCC / SCC of foot","31235-00","31235-04",0
"31280-00","Excision of BCC / SCC of other site","31205-00","31205-00",0
"31300-00","Exc residual/recurrent BCC/SCC of eyelid","31230-00","31230-00",0
"31300-01","Exc residual/recurrent BCC/SCC of nose","31230-01","31230-01",0
"31300-02","Exc residual/recurrent BCC/SCC of ear","31230-02","31230-02",0
"31300-03","Exc residual/recurrent BCC/SCC of lip","31230-03","31230-03",0
"31300-04","Exc residual/recurrent BCC/SCC of digit","31230-04","31230-04",0
"31300-05","Exc residual/recurrent BCC/SCC, genitals","31230-05","31230-05",0
"31300-06","Exc other malignant lesion SSCT, eyelid","31230-00","31230-00",0
"31300-07","Excision oth malignant lesion SSCT, nose","31230-01","31230-01",0
"31300-08","Excision oth malignant lesion SSCT, ear","31230-02","31230-02",0
"31300-09","Excision oth malignant lesion SSCT, lip","31230-03","31230-03",0
"31300-10","Exc other malignant lesion SSCT, digit","31230-04","31230-04",0
"31300-11","Exc oth malignant lesion SSCT, genitals","31230-05","31230-05",0
"31300-12","Exc oth residual/rec malgt SSCT, eyelid","31230-00","31230-00",0
"31300-13","Exc oth residual/rec malgt SSCT, nose","31230-01","31230-01",0
"31300-14","Exc oth residual/rec malgt SSCT, ear","31230-02","31230-02",0
"31300-15","Exc oth residual/recur malgt SSCT, lip","31230-03","31230-03",0
"31300-16","Exc oth residual/rec malgt SSCT, digit","31230-04","31230-04",0
"31300-17","Exc oth residual/rec malgt SSCT genitals","31230-05","31230-05",0
"31310-00","Exc residual/rec BCC/SCC oth site head","31235-00","31235-00",0
"31310-01","Exc residual/recurrent BCC/SCC of neck","31235-01","31235-01",0
"31310-02","Exc residual/recurrent BCC/SCC of hand","31235-02","31235-02",0
"31310-03","Exc residual/recurrent BCC/SCC of leg","31235-03","31235-03",0
"31310-04","Exc residual/recurrent BCC/SCC of foot","31235-04","31235-04",0
"31310-05","Exc oth malgt lesion SSCT oth site head","31235-00","31235-00",0
"31310-06","Excision oth malignant lesion SSCT, neck","31235-01","31235-01",0
"31310-07","Excision oth malignant lesion SSCT, hand","31235-02","31235-02",0
"31310-08","Excision oth malignant lesion SSCT, leg","31235-03","31235-03",0
"31310-09","Exc other malignant lesion SSCT, foot","31235-04","31235-04",0
"31310-10","Exc oth residual/rec malgt SSCT, head","31235-00","31235-00",0
"31310-11","Exc oth residual/rec malgt SSCT, neck","31235-01","31235-01",0
"31310-12","Exc oth residual/rec malgt SSCT, hand","31235-02","31235-02",0
"31310-13","Exc oth residual/rec malgt SSCT, leg","31235-03","31235-03",0
"31310-14","Exc oth residual/rec malgt SSCT, foot","31235-04","31235-04",0
"31325-00","Exc resident/rec BCC/SCC, other site","31205-00","31205-00",0
"31325-01","Exc other malignant lesion SSCT oth site","31205-00","31205-00",0
"31325-02","Exc oth residual/rec malgt SSCT oth site","31205-00","31205-00",0
"32051-02","Total proctocolectomy, ileorectal anstms","32051-00","32051-00",0
"32051-03","Tot proctcolecty ileorectal anstms stoma","32051-01","32051-01",0
"32072-00","Rigid sigmoidoscopy wo GA","32075-00","32075-00",0
"32072-01","Rigid sigmoidoscopy wo GA w biopsy","32075-01","32075-01",0
"32115-00","Dilation of rectum","32114-00","32114-00",0
"32129-00","Direct repair of anal sphincter","32126-00","32126-00",0
"32150-00","Incision of anal fissure","90338-00","90338-00",0
"32150-01","Excision of anal fissure","90315-01","90315-01",0
"32156-00","Incision of anal fistula","90338-00","90338-00",0
"32156-01","Subcutaneous excision of anal fistula","90315-01","90315-01",0
"32168-00","Exam anal fistula wound, GA /regional","32171-00","32171-00",0
"35100-00","Debride musc tendon bone ischmc upp limb","30023-00","30023-00",0
"35100-00","Debride musc tendon bone ischmc upp limb","30023-00","30023-01",1
"35100-01","Debride musc tendon bone ischmc low limb","30023-00","30023-00",0
"35100-01","Debride musc tendon bone ischmc low limb","30023-00","30023-01",1
"35103-00","Debride superficial tis ischmc upp limb","90665-00","90665-00",0
"35103-01","Debride superficial tis ischmc low limb","90665-00","90665-00",0
"35506-01","R/O IU contraceptive dev wo GA","35506-02","35506-02",0
"35623-01","Division uterine septum, hysteroscopy","35634-00","35634-00",0
"36567-00","Lap pyeloplty congen abn/solitary kidney","36564-00","36564-00",0
"36567-01","Pyeloplasty congen abn/solitary kidney","36564-01","36564-01",0
"36576-00","Exposure & exploration kidney for trauma","36537-01","36537-01",0
"36576-00","Exposure & exploration kidney for trauma","36537-01","36516-01",1
"36576-00","Exposure & exploration kidney for trauma","36537-01","90350-00",2
"36600-00","Lap trnsplt ureter into bowel seg, unil","36600-02","36600-02",0
"36600-01","Trnsplt ureter into isol bowel seg, unil","36600-02","36600-02",0
"36603-00","Lap trnsplt ureter into bowel seg bil","36600-02","36600-02",0
"36603-01","Trnsplt ureter into isol bowel seg, bil","36600-02","36600-02",0
"36606-01","Transurethral drain intest urinary resv","36824-00","36606-03",0
"36606-02","Cutaneous drain intestinal urinary resv","36824-00","36606-00",0
"38253-00","Insertion of pacemaker, NEC","38281-00","38281-00",0
"38253-01","Ins perm single chamber pacemaker, VOO","38281-01","38281-01",0
"38253-02","Ins perm single chamber pacemaker, VVI","38281-02","38281-02",0
"38253-03","Ins perm single chamber pacemaker, VVT","38281-03","38281-03",0
"38253-04","Ins perm single chamber pacemaker, AOO","38281-04","38281-04",0
"38253-05","Ins perm single chamber pacemaker, AAI","38281-05","38281-05",0
"38253-06","Ins perm single chamber pacemaker, AAT","38281-06","38281-06",0
"38253-07","Ins perm dual chamber pacemaker, VAT","38281-07","38281-07",0
"38253-08","Ins perm dual chamber pacemaker, VDD","38281-08","38281-08",0
"38253-09","Ins perm dual chamber pacemaker, DVI","38281-09","38281-09",0
"38253-10","Ins perm dual chamber pacemaker, DDD","38281-10","38281-10",0
"38253-11","Removal perm single chamber pacemaker","38281-11","38281-11",0
"38253-12","Removal permanent dual chamber pacemaker","38281-12","38281-12",0
"38530-00","Abltn arrhythmia circuit/fcs atrial cham","38287-00","38287-00",0
"38533-00","Abltn arhythma circuit/fcs bth atrl cham","38290-00","38290-00",0
"38656-00","Control postop bleeding foll heart surg","38656-01","38656-01",0
"38721-00","Repair of vena cava for CHD","90215-02","90215-02",0
"38721-00","Repair of vena cava for CHD","90215-02","90217-02",1
"40303-02","Decomp for spinal stenosis, 1 level","90024-00","90024-00",0
"40306-00","Decomp for spinal stenosis, >= 2 levels","90024-01","90024-01",0
"40331-01","Decomp cerv spin cord w inv nerve 1 lvl","40331-00","40331-00",0
"40331-01","Decomp cerv spin cord w inv nerve 1 lvl","40331-00","40330-01",1
"40332-01","Decomp cerv spin cd w nrv inv fus 1 lvl","40332-00","40332-00",0
"40332-01","Decomp cerv spin cd w nrv inv fus 1 lvl","40332-00","40330-01",1
"40334-01","Decomp cerv spinal cd w nrv inv >= 2 lvl","40334-00","40334-00",0
"40334-01","Decomp cerv spinal cd w nrv inv >= 2 lvl","40334-00","40330-01",1
"40335-01","Decomp cerv spin cd nrv inv fus >= 2 lvl","40335-00","40335-00",0
"40335-01","Decomp cerv spin cd nrv inv fus >= 2 lvl","40335-00","40330-01",1
"40345-01","Decomp thor cd nrv inv, costotrnsvrsecty","90024-00","40345-00",0
"40345-01","Decomp thor cd nrv inv, costotrnsvrsecty","90024-00","40330-00",1
"41575-01","R/O cerebelptn angle tum trnslbrnth appr","41575-00","41575-00",0
"41575-02","R/O cerebelptn angle tum retromstd appr","41575-00","41575-00",0
"41662-00","Removal of nasal polyp without GA","41668-00","41668-00",0
"41846-00","Laryngoscopy wo general anaesthesia","41849-00","41849-00",0
"41858-00","Microlaryngoscopy w R/O papillomata","41861-00","41861-00",0
"41879-00","Laryngoplasty with tracheostomy","41876-02","41876-02",0
"41879-05","Repair trachea cerv appr w tracheostomy","41879-04","41879-04",0
"42610-00","Replace nasolacrimal tube under GA, unil","42614-00","42614-00",0
"42610-01","Probing lacrimal passages under GA, unil","42614-01","42614-01",0
"42610-02","Removal nasolacrimal tube under GA, unil","42614-02","42614-02",0
"42611-00","Replace nasolacrimal tube under GA, bil","42615-00","42615-00",0
"42611-01","Probing lacrimal passages under GA, bil","42615-01","42615-01",0
"42611-02","Removal nasolacrimal tube under GA, bil","42615-02","42615-02",0
"42621-00","Temp occlusion lacrim punctum by cautery","42622-00","42622-00",0
"43500-00","Proc acute osteomyelitis phalanx of hand","90603-13","90603-13",0
"43500-01","Procedure acute osteomyelitis metatarsus","90603-19","90603-19",0
"43500-02","Proc acute osteomyelitis phalanx of foot","90603-20","90603-20",0
"43503-00","Procedure acute osteomyelitis of sternum","90603-02","90603-02",0
"43503-01","Procedure for acute osteomyelitis of rib","90603-03","90603-03",0
"43503-02","Procedure acute osteomyelitis clavicle","90603-06","90603-06",0
"43503-03","Procedure acute osteomyelitis of radius","90603-09","90603-09",0
"43503-04","Procedure acute osteomyelitis of ulna","90603-10","90603-10",0
"43503-05","Procedure for acute osteomyelitis carpus","90603-11","90603-11",0
"43503-06","Procedure for acute osteomyelitis, tibia","90603-16","90603-16",0
"43503-07","Procedure for acute osteomyelitis fibula","90603-17","90603-17",0
"43503-08","Procedure for acute osteomyelitis tarsus","90603-18","90603-18",0
"43503-09","Proc for acute osteomyel maxilla","90603-00","90603-00",0
"43503-10","Proc for acute osteomyel mandible","90603-01","90603-01",0
"43503-11","Proc for acute osteomyelitis metacarpus","90603-12","90603-12",0
"43503-12","Procedure acute osteomyelitis scapula","90603-07","90603-07",0
"43506-00","Procedure acute osteomyelitis of humerus","90603-08","90603-08",0
"43506-01","Procedure acute osteomyelitis of femur","90603-15","90603-15",0
"43509-00","Proc acute osteomyelitis of pelvic bones","90603-14","90603-14",0
"43512-00","Procedure chronic osteomyelitis sternum","90603-02","90603-02",0
"43512-01","Procedure chronic osteomyelitis of rib","90603-03","90603-03",0
"43512-02","Procedure chronic osteomyelitis clavicle","90603-06","90603-06",0
"43512-03","Procedure chronic osteomyelitis scapula","90603-07","90603-07",0
"43512-04","Procedure chronic osteomyelitis radius","90603-09","90603-09",0
"43512-05","Procedure chronic osteomyelitis of ulna","90603-10","90603-10",0
"43512-06","Procedure chronic osteomyelitis, carpus","90603-11","90603-11",0
"43512-07","Proc chronic osteomyelitis, metacarpus","90603-12","90603-12",0
"43512-08","Proc chronic osteomyelitis phalanx hand","90603-13","90603-13",0
"43512-09","Proc for chronic osteomyelitis of tibia","90603-16","90603-16",0
"43512-10","Proc for chronic osteomyelitis of fibula","90603-17","90603-17",0
"43512-11","Procedure chronic osteomyelitis tarsus","90603-18","90603-18",0
"43512-12","Proc chronic osteomyelitis of metatarsus","90603-19","90603-19",0
"43512-13","Proc for chronic oseteomy maxilla","90603-00","90603-00",0
"43512-14","Proc for chronic osteomyel mandible","90603-01","90603-01",0
"43512-15","Proc chronic osteomyelitis phalanx foot","90603-20","90603-20",0
"43515-00","Procedure chronic osteomyelitis humerus","90603-08","90603-08",0
"43515-01","Procedure chronic osteomyelitis of femur","90603-15","90603-15",0
"43518-00","Proc chronic osteomyelitis, pelvic bones","90603-14","90603-14",0
"43518-01","Procedure chronic osteomyelitis vertebra","90603-04","90603-04",0
"43518-02","Proc chr osteomyelts vertebra w cord inv","90603-05","90603-05",0
"43804-00","Resection of intestine for malrotation","32003-00","32003-00",0
"43804-00","Resection of intestine for malrotation","32003-00","32003-01",1
"43804-00","Resection of intestine for malrotation","32003-00","32005-01",2
"43804-00","Resection of intestine for malrotation","32003-00","32006-00",3
"43804-00","Resection of intestine for malrotation","32003-00","32005-00",4
"43804-00","Resection of intestine for malrotation","32003-00","32012-00",5
"43804-01","Resect intest for malrotation stoma form","32000-00","32000-00",0
"43804-01","Resect intest for malrotation stoma form","32000-00","32000-01",1
"43804-01","Resect intest for malrotation stoma form","32000-00","32004-01",2
"43804-01","Resect intest for malrotation stoma form","32000-00","32006-01",3
"43804-01","Resect intest for malrotation stoma form","32000-00","32004-00",4
"43804-01","Resect intest for malrotation stoma form","32000-00","32009-00",5
"43813-00","Rep complicated meconium ileus w anstms","32003-00","32003-00",0
"43813-00","Rep complicated meconium ileus w anstms","32003-00","32003-01",1
"43813-00","Rep complicated meconium ileus w anstms","32003-00","32005-01",2
"43813-00","Rep complicated meconium ileus w anstms","32003-00","32006-00",3
"43813-00","Rep complicated meconium ileus w anstms","32003-00","32005-00",4
"43813-00","Rep complicated meconium ileus w anstms","32003-00","32012-00",5
"43813-01","Repair complic meconium ileus stoma form","32000-00","32000-00",0
"43813-01","Repair complic meconium ileus stoma form","32000-00","32000-01",1
"43813-01","Repair complic meconium ileus stoma form","32000-00","32004-01",2
"43813-01","Repair complic meconium ileus stoma form","32000-00","32006-01",3
"43813-01","Repair complic meconium ileus stoma form","32000-00","32004-00",4
"43813-01","Repair complic meconium ileus stoma form","32000-00","32009-00",5
"43816-00","Resect intest for meconium ileus, anstms","32003-00","32003-00",0
"43816-00","Resect intest for meconium ileus, anstms","32003-00","32003-01",1
"43816-00","Resect intest for meconium ileus, anstms","32003-00","32005-01",2
"43816-00","Resect intest for meconium ileus, anstms","32003-00","32006-00",3
"43816-00","Resect intest for meconium ileus, anstms","32003-00","32005-00",4
"43816-00","Resect intest for meconium ileus, anstms","32003-00","32012-00",5
"43816-01","Resect intest meconium ileus, stoma form","32000-00","32000-00",0
"43816-01","Resect intest meconium ileus, stoma form","32000-00","32000-01",1
"43816-01","Resect intest meconium ileus, stoma form","32000-00","32004-01",2
"43816-01","Resect intest meconium ileus, stoma form","32000-00","32006-01",3
"43816-01","Resect intest meconium ileus, stoma form","32000-00","32004-00",4
"43816-01","Resect intest meconium ileus, stoma form","32000-00","32009-00",5
"43822-00","Colostomy, paed anorectal malformation","30375-04","30375-04",0
"43822-00","Colostomy, paed anorectal malformation","30375-04","30375-28",1
"43825-00","Laparotomy for neonatal alimentary obstr","30373-00","30373-00",0
"43825-01","Repair neonatal alimentary obstruction","43816-02","43816-02",0
"43825-01","Repair neonatal alimentary obstruction","43816-02","32003-00",1
"43825-01","Repair neonatal alimentary obstruction","43816-02","32003-01",2
"43825-01","Repair neonatal alimentary obstruction","43816-02","32005-01",3
"43825-01","Repair neonatal alimentary obstruction","43816-02","32006-00",4
"43825-01","Repair neonatal alimentary obstruction","43816-02","32005-00",5
"43825-01","Repair neonatal alimentary obstruction","43816-02","32012-00",6
"43825-02","Repair neonatal alimentary obstr w stoma","43816-02","43816-02",0
"43825-02","Repair neonatal alimentary obstr w stoma","43816-02","32000-00",1
"43825-02","Repair neonatal alimentary obstr w stoma","43816-02","32000-01",2
"43825-02","Repair neonatal alimentary obstr w stoma","43816-02","32004-01",3
"43825-02","Repair neonatal alimentary obstr w stoma","43816-02","32006-01",4
"43825-02","Repair neonatal alimentary obstr w stoma","43816-02","32004-00",5
"43825-02","Repair neonatal alimentary obstr w stoma","43816-02","32009-00",6
"43828-00","Resect intestine for acute NNEC w anstms","32003-00","32003-00",0
"43828-00","Resect intestine for acute NNEC w anstms","32003-00","32003-01",1
"43828-00","Resect intestine for acute NNEC w anstms","32003-00","32005-01",2
"43828-00","Resect intestine for acute NNEC w anstms","32003-00","32006-00",3
"43828-00","Resect intestine for acute NNEC w anstms","32003-00","32005-00",4
"43828-00","Resect intestine for acute NNEC w anstms","32003-00","32012-00",5
"43828-01","Resect intest acute NNEC w stoma form","32000-00","32000-00",0
"43828-01","Resect intest acute NNEC w stoma form","32000-00","32000-01",1
"43828-01","Resect intest acute NNEC w stoma form","32000-00","32004-01",2
"43828-01","Resect intest acute NNEC w stoma form","32000-00","32006-01",3
"43828-01","Resect intest acute NNEC w stoma form","32000-00","32004-00",4
"43828-01","Resect intest acute NNEC w stoma form","32000-00","32009-00",5
"43831-00","Laparotomy for acute NNEC","30373-00","30373-00",0
"43834-00","Resect stricture large intestine, anstms","32003-00","32003-00",0
"43834-00","Resect stricture large intestine, anstms","32003-00","32003-01",1
"43834-00","Resect stricture large intestine, anstms","32003-00","32005-01",2
"43834-00","Resect stricture large intestine, anstms","32003-00","32006-00",3
"43834-00","Resect stricture large intestine, anstms","32003-00","32005-00",4
"43834-00","Resect stricture large intestine, anstms","32003-00","32012-00",5
"43834-01","Resect stricture lrg intest w stoma form","32000-00","32000-00",0
"43834-01","Resect stricture lrg intest w stoma form","32000-00","32000-01",1
"43834-01","Resect stricture lrg intest w stoma form","32000-00","32004-01",2
"43834-01","Resect stricture lrg intest w stoma form","32000-00","32006-01",3
"43834-01","Resect stricture lrg intest w stoma form","32000-00","32004-00",4
"43834-01","Resect stricture lrg intest w stoma form","32000-00","32009-00",5
"43837-00","Repair congen diaph hernia, abdo appr","30601-00","30601-00",0
"43837-01","Repair congen diaph hernia thoracic appr","30601-01","30601-01",0
"43849-00","Gastrostomy for oesophageal atresia paed","30375-07","30375-07",0
"43858-00","Oesophagostomy for oesophageal atresia","30293-00","30293-00",0
"43933-00","Manipulative reduct intussusception paed","30375-11","30375-11",0
"43933-00","Manipulative reduct intussusception paed","30375-11","30375-08",1
"43936-00","Resection of intussusception, paediatric","32003-00","32003-00",0
"43936-00","Resection of intussusception, paediatric","32003-00","32003-01",1
"43936-00","Resection of intussusception, paediatric","32003-00","32005-01",2
"43936-00","Resection of intussusception, paediatric","32003-00","32006-00",3
"43936-00","Resection of intussusception, paediatric","32003-00","32005-00",4
"43936-00","Resection of intussusception, paediatric","32003-00","32012-00",5
"43939-00","Repair of ventral hernia, paediatric","30403-01","30403-01",0
"43939-00","Repair of ventral hernia, paediatric","30403-01","30405-04",1
"43939-00","Repair of ventral hernia, paediatric","30403-01","30405-03",2
"43939-00","Repair of ventral hernia, paediatric","30403-01","30405-05",3
"43951-00","Fundoplication, paediatric","30527-02","30527-02",0
"43951-00","Fundoplication, paediatric","30527-02","30527-00",1
"43951-00","Fundoplication, paediatric","30527-02","30527-04",2
"43951-00","Fundoplication, paediatric","30527-02","30530-00",3
"43951-00","Fundoplication, paediatric","30527-02","30527-01",4
"43951-00","Fundoplication, paediatric","30527-02","30527-03",5
"43951-00","Fundoplication, paediatric","30527-02","30529-00",6
"43951-00","Fundoplication, paediatric","30527-02","30527-05",7
"43951-00","Fundoplication, paediatric","30527-02","30529-01",8
"43954-00","Fundoplication w gastrostomy, paediatric","30527-02","30527-02",0
"43954-00","Fundoplication w gastrostomy, paediatric","30527-02","30527-00",1
"43954-00","Fundoplication w gastrostomy, paediatric","30527-02","30527-04",2
"43954-00","Fundoplication w gastrostomy, paediatric","30527-02","30530-00",3
"43954-00","Fundoplication w gastrostomy, paediatric","30527-02","30527-01",4
"43954-00","Fundoplication w gastrostomy, paediatric","30527-02","30527-03",5
"43954-00","Fundoplication w gastrostomy, paediatric","30527-02","30529-00",6
"43954-00","Fundoplication w gastrostomy, paediatric","30527-02","30527-05",7
"43954-00","Fundoplication w gastrostomy, paediatric","30527-02","30529-01",8
"43960-00","Anoplasty, paediatric","32123-00","32123-00",0
"43990-00","Resect lrg intest/rectum Hirschspg stoma","32030-00","32030-00",0
"43990-00","Resect lrg intest/rectum Hirschspg stoma","32030-00","32000-00",1
"43990-00","Resect lrg intest/rectum Hirschspg stoma","32030-00","32006-01",2
"43990-00","Resect lrg intest/rectum Hirschspg stoma","32030-00","32004-00",3
"43993-00","Anstms Hirschspg prev intest/rect resect","43993-01","43993-01",0
"43993-02","Resect intest/rect Hirschspg anstms/stma","43993-01","43993-01",0
"43996-00","Total colectomy Hirschspg dis w anstms","43993-01","43993-01",0
"43996-01","Other proc for Hirschsprung's disease","43993-01","43993-01",0
"43999-00","Anal sphincterotomy Hirschsprung's dis","90338-00","90338-00",0
"44105-00","Injection rectal mucosal prolapse, paed","32132-01","32132-01",0
"45239-03","Revision of myocutaneous flap","45497-00","45497-00",0
"45239-03","Revision of myocutaneous flap","45497-00","45498-00",1
"45239-03","Revision of myocutaneous flap","45497-00","45499-00",2
