"Code","Abbrev Descrip","Logical Map","Historical Map","Sequence Number"
"P91.8","Oth spec disturb newborn cerebral status","P91.89","P91.81",1
"P96.5","Comp intrauterine procedures NEC","P96.50","P96.50",0
"P96.5","Comp intrauterine procedures NEC","P96.50","P96.59",1
"P96.5","Comp intrauterine procedures NEC","P96.50","P96.51",2
"P96.5","Comp intrauterine procedures NEC","P96.50","P96.52",3
"P96.5","Comp intrauterine procedures NEC","P96.50","P96.53",4
"P96.5","Comp intrauterine procedures NEC","P96.50","P96.54",5
"P96.8","Oth spec conditions in perinatal period","P96.89","P96.89",0
"P96.8","Oth spec conditions in perinatal period","P96.89","P96.81",1
"Q00.0","Anencephaly","Q00.00","Q00.00",0
"Q00.0","Anencephaly","Q00.00","Q00.09",1
"Q00.0","Anencephaly","Q00.00","Q00.01",2
"Q00.2","Iniencephaly","Q00.20","Q00.20",0
"Q00.2","Iniencephaly","Q00.20","Q00.21",1
"Q00.2","Iniencephaly","Q00.20","Q00.22",2
"Q01.8","Encephalocele of other sites","Q01.89","Q01.89",0
"Q01.8","Encephalocele of other sites","Q01.89","Q01.81",1
"Q01.8","Encephalocele of other sites","Q01.89","Q01.82",2
"Q01.8","Encephalocele of other sites","Q01.89","Q01.83",3
"Q01.8","Encephalocele of other sites","Q01.89","Q01.84",4
"Q04.0","Congenital malformations corpus callosum","Q04.00","Q04.00",0
"Q04.0","Congenital malformations corpus callosum","Q04.00","Q04.09",1
"Q04.0","Congenital malformations corpus callosum","Q04.00","Q04.01",2
"Q04.3","Other reduction deformities of brain","Q04.39","Q04.39",0
"Q04.3","Other reduction deformities of brain","Q04.39","Q04.31",1
"Q04.3","Other reduction deformities of brain","Q04.39","Q04.32",2
"Q04.3","Other reduction deformities of brain","Q04.39","Q04.33",3
"Q04.3","Other reduction deformities of brain","Q04.39","Q04.34",4
"Q04.3","Other reduction deformities of brain","Q04.39","Q04.35",5
"Q04.3","Other reduction deformities of brain","Q04.39","Q04.36",6
"Q04.6","Congenital cerebral cysts","Q04.60","Q04.60",0
"Q04.6","Congenital cerebral cysts","Q04.60","Q04.61",1
"Q04.6","Congenital cerebral cysts","Q04.60","Q04.62",2
"Q05.0","Cervical spina bifida with hydrocephalus","Q05.00","Q05.00",0
"Q05.0","Cervical spina bifida with hydrocephalus","Q05.00","Q05.01",1
"Q05.0","Cervical spina bifida with hydrocephalus","Q05.00","Q05.02",2
"Q05.1","Thoracic spina bifida with hydrocephalus","Q05.10","Q05.10",0
"Q05.1","Thoracic spina bifida with hydrocephalus","Q05.10","Q05.11",1
"Q05.1","Thoracic spina bifida with hydrocephalus","Q05.10","Q05.12",2
"Q05.2","Lumbar spina bifida with hydrocephalus","Q05.20","Q05.20",0
"Q05.2","Lumbar spina bifida with hydrocephalus","Q05.20","Q05.21",1
"Q05.2","Lumbar spina bifida with hydrocephalus","Q05.20","Q05.22",2
"Q05.3","Sacral spina bifida with hydrocephalus","Q05.30","Q05.30",0
"Q05.3","Sacral spina bifida with hydrocephalus","Q05.30","Q05.31",1
"Q05.3","Sacral spina bifida with hydrocephalus","Q05.30","Q05.32",2
"Q05.4","NOS spina bifida with hydrocephalus","Q05.40","Q05.40",0
"Q05.4","NOS spina bifida with hydrocephalus","Q05.40","Q05.41",1
"Q05.4","NOS spina bifida with hydrocephalus","Q05.40","Q05.42",2
"Q05.5","Cervical spina bifida wo hydrocephalus","Q05.50","Q05.50",0
"Q05.5","Cervical spina bifida wo hydrocephalus","Q05.50","Q05.51",1
"Q05.5","Cervical spina bifida wo hydrocephalus","Q05.50","Q05.52",2
"Q05.6","Thoracic spina bifida wo hydrocephalus","Q05.60","Q05.60",0
"Q05.6","Thoracic spina bifida wo hydrocephalus","Q05.60","Q05.61",1
"Q05.6","Thoracic spina bifida wo hydrocephalus","Q05.60","Q05.62",2
"Q05.7","Lumbar spina bifida wo hydrocephalus","Q05.70","Q05.70",0
"Q05.7","Lumbar spina bifida wo hydrocephalus","Q05.70","Q05.71",1
"Q05.7","Lumbar spina bifida wo hydrocephalus","Q05.70","Q05.72",2
"Q05.8","Sacral spina bifida wo hydrocephalus","Q05.80","Q05.80",0
"Q05.8","Sacral spina bifida wo hydrocephalus","Q05.80","Q05.81",1
"Q05.8","Sacral spina bifida wo hydrocephalus","Q05.80","Q05.82",2
"Q05.9","Spina bifida unspecified","Q05.90","Q05.90",0
"Q05.9","Spina bifida unspecified","Q05.90","Q05.91",1
"Q05.9","Spina bifida unspecified","Q05.90","Q05.92",2
"Q07.8","Oth spec congen malform nervous system","Q07.89","Q07.89",0
"Q07.8","Oth spec congen malform nervous system","Q07.89","Q07.81",1
"Q07.8","Oth spec congen malform nervous system","Q07.89","Q07.82",2
"Q39.1","Atresia oesoph w tracheo-oesoph fistula","Q39.19","Q39.19",0
"Q39.1","Atresia oesoph w tracheo-oesoph fistula","Q39.19","Q39.11",1
"Q39.1","Atresia oesoph w tracheo-oesoph fistula","Q39.19","Q39.12",2
"Q39.2","Congen tracheo-oesoph fistula wo atresia","Q39.21","Q39.21",0
"Q39.2","Congen tracheo-oesoph fistula wo atresia","Q39.21","Q39.22",1
"Q39.8","Oth congenital malformations oesophagus","Q39.89","Q39.89",0
"Q39.8","Oth congenital malformations oesophagus","Q39.89","Q39.81",1
"Q39.8","Oth congenital malformations oesophagus","Q39.89","Q39.82",2
"Q42.0","Congen absnce atrs stenos rectum w fist","Q42.00","Q42.00",0
"Q42.0","Congen absnce atrs stenos rectum w fist","Q42.00","Q42.09",1
"Q42.0","Congen absnce atrs stenos rectum w fist","Q42.00","Q42.01",2
"Q42.0","Congen absnce atrs stenos rectum w fist","Q42.00","Q42.02",3
"Q42.0","Congen absnce atrs stenos rectum w fist","Q42.00","Q42.03",4
"Q42.0","Congen absnce atrs stenos rectum w fist","Q42.00","Q42.04",5
"Q42.0","Congen absnce atrs stenos rectum w fist","Q42.00","Q42.05",6
"Q42.2","Cong absc atrs stenos anus w fistula","Q42.20","Q42.20",0
"Q42.2","Cong absc atrs stenos anus w fistula","Q42.20","Q42.29",1
"Q42.2","Cong absc atrs stenos anus w fistula","Q42.20","Q42.21",2
"Q42.2","Cong absc atrs stenos anus w fistula","Q42.20","Q42.22",3
"Q43.1","Hirschsprung's disease","Q43.10","Q43.10",0
"Q43.1","Hirschsprung's disease","Q43.10","Q43.19",1
"Q43.1","Hirschsprung's disease","Q43.10","Q43.11",2
"Q43.1","Hirschsprung's disease","Q43.10","Q43.12",3
"Q43.3","Congen malform of intestinal fixation","Q43.39","Q43.39",0
"Q43.3","Congen malform of intestinal fixation","Q43.39","Q43.31",1
"Q43.3","Congen malform of intestinal fixation","Q43.39","Q43.32",2
"Q45.3","Oth congen malform pancreas pancr duct","Q45.39","Q45.39",0
"Q45.3","Oth congen malform pancreas pancr duct","Q45.39","Q45.31",1
"Q45.8","Oth spec congen malform digestive system","Q45.89","Q45.89",0
"Q45.8","Oth spec congen malform digestive system","Q45.89","Q45.81",1
"Q45.8","Oth spec congen malform digestive system","Q45.89","Q45.82",2
"Q45.8","Oth spec congen malform digestive system","Q45.89","Q45.83",3
"Q45.8","Oth spec congen malform digestive system","Q45.89","Q45.84",4
"Q50.0","Congenital absence of ovary","Q50.00","Q50.00",0
"Q50.0","Congenital absence of ovary","Q50.00","Q50.01",1
"Q50.0","Congenital absence of ovary","Q50.00","Q50.02",2
"Q50.1","Developmental ovarian cyst","Q50.10","Q50.10",0
"Q50.1","Developmental ovarian cyst","Q50.10","Q50.11",1
"Q50.1","Developmental ovarian cyst","Q50.10","Q50.12",2
"Q50.3","Other congenital malformations of ovary","Q50.39","Q50.39",0
"Q50.3","Other congenital malformations of ovary","Q50.39","Q50.31",1
"Q50.6","Oth congen malform fall tbe & brd ligmt","Q50.69","Q50.69",0
"Q50.6","Oth congen malform fall tbe & brd ligmt","Q50.69","Q50.61",1
"Q55.0","Absence and aplasia of testis","Q55.00","Q55.00",0
"Q55.0","Absence and aplasia of testis","Q55.00","Q55.01",1
"Q55.0","Absence and aplasia of testis","Q55.00","Q55.02",2
"Q55.2","Other congen malform of testis & scrotum","Q55.29","Q55.29",0
"Q55.2","Other congen malform of testis & scrotum","Q55.29","Q55.21",1
"Q55.2","Other congen malform of testis & scrotum","Q55.29","Q55.22",2
"Q61.4","Renal dysplasia","Q61.40","Q61.40",0
"Q61.4","Renal dysplasia","Q61.40","Q61.41",1
"Q61.4","Renal dysplasia","Q61.40","Q61.42",2
"Q61.5","Medullary cystic kidney","Q61.50","Q61.50",0
"Q61.5","Medullary cystic kidney","Q61.50","Q61.51",1
"Q61.5","Medullary cystic kidney","Q61.50","Q61.52",2
"Q62.1","Atresia and stenosis of ureter","Q62.18","Q62.18",0
"Q62.1","Atresia and stenosis of ureter","Q62.18","Q62.19",1
"Q62.1","Atresia and stenosis of ureter","Q62.18","Q62.11",2
"Q62.1","Atresia and stenosis of ureter","Q62.18","Q62.12",3
"Q62.1","Atresia and stenosis of ureter","Q62.18","Q62.13",4
"Q62.1","Atresia and stenosis of ureter","Q62.18","Q62.14",5
"Q62.3","Oth obstructive dfct renal pelvis ureter","Q62.39","Q62.39",0
"Q62.3","Oth obstructive dfct renal pelvis ureter","Q62.39","Q62.31",1
"Q62.3","Oth obstructive dfct renal pelvis ureter","Q62.39","Q62.32",2
"Q62.3","Oth obstructive dfct renal pelvis ureter","Q62.39","Q62.33",3
"Q62.3","Oth obstructive dfct renal pelvis ureter","Q62.39","Q62.34",4
"Q62.5","Duplication of ureter","Q62.59","Q62.59",0
"Q62.5","Duplication of ureter","Q62.59","Q62.51",1
"Q62.5","Duplication of ureter","Q62.59","Q62.52",2
"Q62.6","Malposition of ureter","Q62.60","Q62.60",0
"Q62.6","Malposition of ureter","Q62.60","Q62.69",1
"Q62.6","Malposition of ureter","Q62.60","Q62.61",2
"Q62.6","Malposition of ureter","Q62.60","Q62.62",3
"Q62.6","Malposition of ureter","Q62.60","Q62.63",4
"Q62.6","Malposition of ureter","Q62.60","Q62.64",5
"Q62.6","Malposition of ureter","Q62.60","Q62.65",6
"Q62.6","Malposition of ureter","Q62.60","Q62.66",7
"Q62.7","Congenital vesico-uretero-renal reflux","Q62.70","Q62.70",0
"Q62.7","Congenital vesico-uretero-renal reflux","Q62.70","Q62.71",1
"Q62.7","Congenital vesico-uretero-renal reflux","Q62.70","Q62.72",2
"Q63.0","Accessory kidney","Q63.09","Q63.09",0
"Q63.0","Accessory kidney","Q63.09","Q63.01",1
"Q63.0","Accessory kidney","Q63.09","Q63.02",2
"Q63.1","Lobulated fused and horseshoe kidney","Q63.10","Q63.10",0
"Q63.1","Lobulated fused and horseshoe kidney","Q63.10","Q63.19",1
"Q63.1","Lobulated fused and horseshoe kidney","Q63.10","Q63.11",2
"Q63.2","Ectopic kidney","Q63.20","Q63.20",0
"Q63.2","Ectopic kidney","Q63.20","Q63.29",1
"Q63.2","Ectopic kidney","Q63.20","Q63.21",2
"M65.21","Calcific tendinitis shoulder","M75.3","M75.3",0
"Q63.2","Ectopic kidney","Q63.20","Q63.22",3
"Q63.2","Ectopic kidney","Q63.20","Q63.23",4
"Q63.8","Oth spec congenital malformations kidney","Q63.89","Q63.89",0
"Q63.8","Oth spec congenital malformations kidney","Q63.89","Q63.81",1
"Q64.1","Exstrophy of urinary bladder","Q64.19","Q64.19",0
"Q64.1","Exstrophy of urinary bladder","Q64.19","Q64.11",1
"Q64.2","Congenital urethral valves","Q64.21","Q64.21",0
"Q64.2","Congenital urethral valves","Q64.21","Q64.20",1
"Q64.2","Congenital urethral valves","Q64.21","Q64.22",2
"Q64.3","Oth atresia stenos urethra bladder neck","Q64.39","Q64.39",0
"Q64.3","Oth atresia stenos urethra bladder neck","Q64.39","Q64.31",1
"Q64.3","Oth atresia stenos urethra bladder neck","Q64.39","Q64.32",2
"Q64.3","Oth atresia stenos urethra bladder neck","Q64.39","Q64.33",3
"Q64.3","Oth atresia stenos urethra bladder neck","Q64.39","Q64.34",4
"Q64.4","Malformation of urachus","Q64.49","Q64.49",0
"Q64.4","Malformation of urachus","Q64.49","Q64.41",1
"Q64.4","Malformation of urachus","Q64.49","Q64.42",2
"Q64.4","Malformation of urachus","Q64.49","Q64.43",3
"Q64.7","Oth congen malform bladder & urethra","Q64.79","Q64.79",0
"Q64.7","Oth congen malform bladder & urethra","Q64.79","Q64.71",1
"Q64.7","Oth congen malform bladder & urethra","Q64.79","Q64.72",2
"Q64.7","Oth congen malform bladder & urethra","Q64.79","Q64.73",3
"Q64.7","Oth congen malform bladder & urethra","Q64.79","Q64.74",4
"Q64.7","Oth congen malform bladder & urethra","Q64.79","Q64.75",5
"Q64.7","Oth congen malform bladder & urethra","Q64.79","Q64.76",6
"Q64.7","Oth congen malform bladder & urethra","Q64.79","Q64.77",7
"Q64.7","Oth congen malform bladder & urethra","Q64.79","Q64.78",8
"Q65.6","Unstable hip","Q65.60","Q65.60",0
"Q65.6","Unstable hip","Q65.60","Q65.61",1
"Q65.6","Unstable hip","Q65.60","Q65.62",2
"Q67.4","Oth congen deformities skull face & jaw","Q67.49","Q67.49",0
"Q67.4","Oth congen deformities skull face & jaw","Q67.49","Q67.41",1
"Q67.4","Oth congen deformities skull face & jaw","Q67.49","Q67.42",2
"Q67.5","Congenital deformity of spine","Q67.59","Q67.59",0
"Q67.5","Congenital deformity of spine","Q67.59","Q67.51",1
"Q67.5","Congenital deformity of spine","Q67.59","Q67.52",2
"Q71.3","Congenital absence of hand and finger(s)","Q71.33","Q71.33",0
"Q71.3","Congenital absence of hand and finger(s)","Q71.33","Q71.31",1
"Q71.3","Congenital absence of hand and finger(s)","Q71.33","Q71.32",2
"Q72.3","Congenital absence of foot and toe(s)","Q72.33","Q72.33",0
"Q72.3","Congenital absence of foot and toe(s)","Q72.33","Q72.31",1
"Q72.3","Congenital absence of foot and toe(s)","Q72.33","Q72.32",2
"Q73.8","Other reduction defects of NOS limb(s)","Q73.89","Q73.89",0
"Q73.8","Other reduction defects of NOS limb(s)","Q73.89","Q73.80",1
"Q74.0","Oth congen malform upp lmb incl shoulder","Q74.09","Q74.09",0
"Q74.0","Oth congen malform upp lmb incl shoulder","Q74.09","Q74.01",1
"Q74.0","Oth congen malform upp lmb incl shoulder","Q74.09","Q74.02",2
"Q74.0","Oth congen malform upp lmb incl shoulder","Q74.09","Q74.03",3
"Q74.0","Oth congen malform upp lmb incl shoulder","Q74.09","Q74.04",4
"Q74.0","Oth congen malform upp lmb incl shoulder","Q74.09","Q74.05",5
"Q74.0","Oth congen malform upp lmb incl shoulder","Q74.09","Q74.06",6
"Q74.0","Oth congen malform upp lmb incl shoulder","Q74.09","Q74.07",7
"Q74.0","Oth congen malform upp lmb incl shoulder","Q74.09","Q74.08",8
"Q74.8","Oth spec congen malformations limb(s)","Q74.89","Q74.89",0
"Q74.8","Oth spec congen malformations limb(s)","Q74.89","Q74.81",1
"Q74.8","Oth spec congen malformations limb(s)","Q74.89","Q74.82",2
"Q74.8","Oth spec congen malformations limb(s)","Q74.89","Q74.83",3
"Q74.8","Oth spec congen malformations limb(s)","Q74.89","Q74.84",4
"Q74.8","Oth spec congen malformations limb(s)","Q74.89","Q74.85",5
"Q75.0","Craniosynostosis","Q75.09","Q75.09",0
"Q75.0","Craniosynostosis","Q75.09","Q75.01",1
"Q75.0","Craniosynostosis","Q75.09","Q75.02",2
"Q75.0","Craniosynostosis","Q75.09","Q75.03",3
"Q75.0","Craniosynostosis","Q75.09","Q75.04",4
"Q75.0","Craniosynostosis","Q75.09","Q75.05",5
"Q75.0","Craniosynostosis","Q75.09","Q75.06",6
"Q75.3","Macrocephaly","Q75.39","Q75.39",0
"Q75.3","Macrocephaly","Q75.39","Q75.31",1
"Q75.8","Oth spec congen malform skull fce bone","Q75.89","Q75.89",0
"Q75.8","Oth spec congen malform skull fce bone","Q75.89","Q75.81",1
"Q76.3","Congen scoliosis dt congen bony malform","Q76.39","Q76.39",0
"Q76.3","Congen scoliosis dt congen bony malform","Q76.39","Q76.31",1
"Q76.4","Oth malform spine not assoc w scoliosis","Q76.49","Q76.49",0
"Q76.4","Oth malform spine not assoc w scoliosis","Q76.49","Q76.41",1
"Q76.4","Oth malform spine not assoc w scoliosis","Q76.49","Q76.42",2
"Q76.4","Oth malform spine not assoc w scoliosis","Q76.49","Q76.43",3
"Q76.4","Oth malform spine not assoc w scoliosis","Q76.49","Q76.44",4
"Q76.4","Oth malform spine not assoc w scoliosis","Q76.49","Q76.45",5
"Q76.6","Other congenital malformations of ribs","Q76.69","Q76.69",0
"Q76.6","Other congenital malformations of ribs","Q76.69","Q76.61",1
"Q76.6","Other congenital malformations of ribs","Q76.69","Q76.62",2
"Q76.6","Other congenital malformations of ribs","Q76.69","Q76.63",3
"Q76.7","Congenital malformation of sternum","Q76.79","Q76.79",0
"Q76.7","Congenital malformation of sternum","Q76.79","Q76.71",1
"Q76.7","Congenital malformation of sternum","Q76.79","Q76.72",2
"Q77.0","Achondrogenesis","Q77.00","Q77.00",0
"Q77.0","Achondrogenesis","Q77.00","Q77.09",1
"Q77.0","Achondrogenesis","Q77.00","Q77.01",2
"Q77.0","Achondrogenesis","Q77.00","Q77.02",3
"Q77.0","Achondrogenesis","Q77.00","Q77.03",4
"Q77.8","Oth ostchondysplas dfct grth bone spine","Q77.89","Q77.89",0
"Q77.8","Oth ostchondysplas dfct grth bone spine","Q77.89","Q77.81",1
"Q77.8","Oth ostchondysplas dfct grth bone spine","Q77.89","Q77.82",2
"Q84.8","Oth spec congen malformations integument","Q84.89","Q84.89",0
"Q84.8","Oth spec congen malformations integument","Q84.89","Q84.81",1
"Q85.8","Other phakomatoses","Q85.89","Q85.89",0
"Q85.8","Other phakomatoses","Q85.89","Q85.81",1
"Q85.8","Other phakomatoses","Q85.89","Q85.82",2
"Q85.8","Other phakomatoses","Q85.89","Q85.83",3
"Q85.8","Other phakomatoses","Q85.89","Q85.84",4
"Q86.8","Oth congen malform syndr dt exog cause","Q86.89","Q86.89",0
"Q86.8","Oth congen malform syndr dt exog cause","Q86.89","Q86.81",1
"Q86.8","Oth congen malform syndr dt exog cause","Q86.89","Q86.82",2
"Q86.8","Oth congen malform syndr dt exog cause","Q86.89","Q86.83",3
"Q86.8","Oth congen malform syndr dt exog cause","Q86.89","Q86.84",4
"Q86.8","Oth congen malform syndr dt exog cause","Q86.89","Q86.85",5
"Q86.8","Oth congen malform syndr dt exog cause","Q86.89","Q86.86",6
"Q86.8","Oth congen malform syndr dt exog cause","Q86.89","Q86.87",7
"Q87.0","Congen syndr predom aff facial appear","Q87.09","Q87.09",0
"Q87.0","Congen syndr predom aff facial appear","Q87.09","Q87.01",1
"Q87.0","Congen syndr predom aff facial appear","Q87.09","Q87.02",2
"Q87.0","Congen syndr predom aff facial appear","Q87.09","Q87.03",3
"Q87.0","Congen syndr predom aff facial appear","Q87.09","Q87.04",4
"Q87.0","Congen syndr predom aff facial appear","Q87.09","Q87.05",5
"Q87.0","Congen syndr predom aff facial appear","Q87.09","Q87.06",6
"Q87.0","Congen syndr predom aff facial appear","Q87.09","Q87.07",7
"Q87.1","Congen syndr predom w short stature","Q87.19","Q87.19",0
"Q87.1","Congen syndr predom w short stature","Q87.19","Q87.11",1
"Q87.1","Congen syndr predom w short stature","Q87.19","Q87.12",2
"Q87.1","Congen syndr predom w short stature","Q87.19","Q87.13",3
"Q87.1","Congen syndr predom w short stature","Q87.19","Q87.14",4
"Q87.1","Congen syndr predom w short stature","Q87.19","Q87.15",5
"Q87.1","Congen syndr predom w short stature","Q87.19","Q87.16",6
"Q87.1","Congen syndr predom w short stature","Q87.19","Q87.17",7
"Q87.1","Congen syndr predom w short stature","Q87.19","Q87.18",8
"Q87.2","Congen malform syndr predom inv limbs","Q87.29","Q87.29",0
"Q87.2","Congen malform syndr predom inv limbs","Q87.29","Q87.21",1
"Q87.2","Congen malform syndr predom inv limbs","Q87.29","Q87.22",2
"Q87.2","Congen malform syndr predom inv limbs","Q87.29","Q87.23",3
"Q87.2","Congen malform syndr predom inv limbs","Q87.29","Q87.24",4
"Q87.2","Congen malform syndr predom inv limbs","Q87.29","Q87.25",5
"Q87.2","Congen malform syndr predom inv limbs","Q87.29","Q87.26",6
"Q87.2","Congen malform syndr predom inv limbs","Q87.29","Q87.27",7
"Q87.3","Congen syndr inv early overgrowth","Q87.39","Q87.39",0
"Q87.3","Congen syndr inv early overgrowth","Q87.39","Q87.31",1
"Q87.3","Congen syndr inv early overgrowth","Q87.39","Q87.32",2
"Q87.3","Congen syndr inv early overgrowth","Q87.39","Q87.33",3
"Q87.8","Oth spec congen malform syndromes NEC","Q87.89","Q87.89",0
"Q87.8","Oth spec congen malform syndromes NEC","Q87.89","Q87.81",1
"Q87.8","Oth spec congen malform syndromes NEC","Q87.89","Q87.82",2
"Q87.8","Oth spec congen malform syndromes NEC","Q87.89","Q87.83",3
"Q87.8","Oth spec congen malform syndromes NEC","Q87.89","Q87.84",4
"Q87.8","Oth spec congen malform syndromes NEC","Q87.89","Q87.85",5
"Q89.0","Congenital malformations of spleen","Q89.09","Q89.09",0
"Q89.0","Congenital malformations of spleen","Q89.09","Q89.01",1
"Q89.1","Congenital malformations adrenal gland","Q89.19","Q89.19",0
"Q89.1","Congenital malformations adrenal gland","Q89.19","Q89.11",1
"Q89.1","Congenital malformations adrenal gland","Q89.19","Q89.12",2
"Q89.2","Congen malform oth endocrine glands","Q89.29","Q89.29",0
"Q89.2","Congen malform oth endocrine glands","Q89.29","Q89.21",1
"Q89.2","Congen malform oth endocrine glands","Q89.29","Q89.22",2
"Q89.2","Congen malform oth endocrine glands","Q89.29","Q89.23",3
"Q89.2","Congen malform oth endocrine glands","Q89.29","Q89.24",4
"Q89.2","Congen malform oth endocrine glands","Q89.29","Q89.25",5
"Q89.2","Congen malform oth endocrine glands","Q89.29","Q89.26",6
"Q89.3","Situs inversus","Q89.30","Q89.30",0
"Q89.3","Situs inversus","Q89.30","Q89.39",1
"Q89.3","Situs inversus","Q89.30","Q89.31",2
"Q89.3","Situs inversus","Q89.30","Q89.32",3
"Q89.3","Situs inversus","Q89.30","Q89.33",4
"Q89.3","Situs inversus","Q89.30","Q89.34",5
"Q89.3","Situs inversus","Q89.30","Q89.35",6
"Q89.4","Conjoined twins","Q89.49","Q89.49",0
"Q89.4","Conjoined twins","Q89.49","Q89.41",1
"Q89.4","Conjoined twins","Q89.49","Q89.42",2
"Q89.4","Conjoined twins","Q89.49","Q89.43",3
"Q89.4","Conjoined twins","Q89.49","Q89.44",4
"Q89.4","Conjoined twins","Q89.49","Q89.45",5
"Q89.4","Conjoined twins","Q89.49","Q89.46",6
"Q89.7","Multiple congenital malformations NEC","Q89.79","Q89.79",0
"Q89.7","Multiple congenital malformations NEC","Q89.79","Q89.71",1
