Design Token,Dark
colorNeutralCardBackgroundPressed,#2E2E2E
colorNeutralCardBackgroundSelected,#383838
colorNeutralForeground1,#FFFFFF
colorNeutralForeground1Hover,#FFFFFF
colorNeutralForeground1Pressed,#FFFFFF
colorNeutralForeground1Selected,#FFFFFF
colorNeutralForeground1Static,#242424
colorNeutralForeground2,#D6D6D6
colorNeutralForeground2BrandHover,#479EF5
colorNeutralForeground2BrandPressed,#2886DE
colorNeutralForeground2BrandSelected,#479EF5
colorNeutralForeground2Hover,#FFFFFF
colorNeutralForeground2Link,#D6D6D6
colorNeutralForeground2LinkHover,#FFFFFF
colorNeutralForeground2LinkPressed,#FFFFFF
colorNeutralForeground2LinkSelected,#FFFFFF
colorNeutralForeground2Pressed,#FFFFFF
colorNeutralForeground2Selected,#FFFFFF
colorNeutralForeground3,#ADADAD
colorNeutralForeground3BrandHover,#479EF5
colorNeutralForeground3BrandPressed,#2886DE
colorNeutralForeground3BrandSelected,#479EF5
colorNeutralForeground3Hover,#D6D6D6
colorNeutralForeground3Pressed,#D6D6D6
colorNeutralForeground3Selected,#D6D6D6
colorNeutralForeground4,#999999
colorNeutralForegroundDisabled,#5C5C5C
colorNeutralForegroundInverted,#242424
colorNeutralForegroundInverted2,#242424
colorNeutralForegroundInvertedDisabled,"RGBA(255, 255, 255, 0.4)"
colorNeutralForegroundInvertedHover,#242424
colorNeutralForegroundInvertedLink,#FFFFFF
colorNeutralForegroundInvertedLinkHover,#FFFFFF
colorNeutralForegroundInvertedLinkPressed,#FFFFFF
colorNeutralForegroundInvertedLinkSelected,#FFFFFF
colorNeutralForegroundInvertedPressed,#242424
colorNeutralForegroundInvertedSelected,#242424
colorNeutralForegroundOnBrand,#FFFFFF
colorNeutralForegroundStaticInverted,#FFFFFF
colorNeutralShadowAmbient,"RGBA(0,0,0,0.24)"
colorNeutralShadowAmbientDarker,"RGBA(0,0,0,0.40)"
colorNeutralShadowAmbientLighter,"RGBA(0,0,0,0.12)"
colorNeutralShadowKey,"RGBA(0,0,0,0.28)"
colorNeutralShadowKeyDarker,"RGBA(0,0,0,0.48)"
colorNeutralShadowKeyLighter,"RGBA(0,0,0,0.14)"
colorNeutralStencil1,#575757
colorNeutralStencil1Alpha,"RGBA(255, 255, 255, 0.1)"
colorNeutralStencil2,#333333
colorNeutralStencil2Alpha,"RGBA(255, 255, 255, 0.05)"
colorNeutralStroke1,#666666
colorNeutralStroke1Hover,#757575
colorNeutralStroke1Pressed,#6B6B6B
colorNeutralStroke1Selected,#707070
colorNeutralStroke2,#525252
colorNeutralStroke3,#3D3D3D
colorNeutralStrokeAccessible,#ADADAD
colorNeutralStrokeAccessibleHover,#BDBDBD
colorNeutralStrokeAccessiblePressed,#B3B3B3
colorNeutralStrokeAccessibleSelected,#479EF5
colorNeutralStrokeAlpha,"RGBA(255, 255, 255, 0.1)"
colorNeutralStrokeAlpha2,"RGBA(255, 255, 255, 0.2)"
colorNeutralStrokeDisabled,#424242
colorNeutralStrokeInvertedDisabled,"RGBA(255, 255, 255, 0.4)"
colorNeutralStrokeOnBrand,#292929
colorNeutralStrokeOnBrand2,#FFFFFF
colorNeutralStrokeOnBrand2Hover,#FFFFFF
colorNeutralStrokeOnBrand2Pressed,#FFFFFF
colorNeutralStrokeOnBrand2Selected,#FFFFFF
colorNeutralStrokeSubtle,#0A0A0A
colorPaletteAnchorBackground2,#202427
colorPaletteAnchorBorderActive,#808A90
colorPaletteAnchorForeground2,#BCC3C7
colorPaletteBeigeBackground2,#444241
colorPaletteBeigeBorderActive,#AFABAA
colorPaletteBeigeForeground2,#D7D4D4
colorPaletteBerryBackground1,#3A1136
colorPaletteBerryBackground2,#6D2064
colorPaletteBerryBackground3,#C239B3
colorPaletteBerryBorder1,#C239B3
colorPaletteBerryBorder2,#D161C4
colorPaletteBerryBorderActive,#DA7ED0
colorPaletteBerryForeground1,#DA7ED0
colorPaletteBerryForeground2,#EDBBE7
colorPaletteBerryForeground3,#D161C4
colorPaletteBlueBackground2,#004377
colorPaletteBlueBorderActive,#5CAAE5
colorPaletteBlueForeground2,#A9D3F2
colorPaletteBrassBackground2,#553E06
colorPaletteBrassBorderActive,#C1A256
colorPaletteBrassForeground2,#E0CEA2
colorPaletteBrownBackground2,#50301A
colorPaletteBrownBorderActive,#BB8F6F
colorPaletteBrownForeground2,#DDC3B0
colorPaletteCornflowerBackground2,#2C3C85
colorPaletteCornflowerBorderActive,#93A4F4
colorPaletteCornflowerForeground2,#C8D1FA
colorPaletteCranberryBackground2,#6E0811
colorPaletteCranberryBorderActive,#DC626D
colorPaletteCranberryForeground2,#EEACB2
colorPaletteDarkGreenBackground2,#063B06
colorPaletteDarkGreenBorderActive,#4DA64D
colorPaletteDarkGreenForeground2,#9AD29A
colorPaletteDarkOrangeBackground1,#411200
colorPaletteDarkOrangeBackground2,#7A2101
colorPaletteDarkOrangeBackground3,#DA3B01
colorPaletteDarkOrangeBorder1,#DA3B01
colorPaletteDarkOrangeBorder2,#E9835E
colorPaletteDarkOrangeBorderActive,#E9835E
colorPaletteDarkOrangeForeground1,#E9835E
colorPaletteDarkOrangeForeground2,#F4BFAB
colorPaletteDarkOrangeForeground3,#E9835E
colorPaletteDarkRedBackground2,#590815
colorPaletteDarkRedBorderActive,#AC4F5E
colorPaletteDarkRedForeground2,#D69CA5
colorPaletteForestBackground2,#294903
colorPaletteForestBorderActive,#85B44C
colorPaletteForestForeground2,#BDD99B
colorPaletteGoldBackground2,#6C5700
colorPaletteGoldBorderActive,#DAC157
colorPaletteGoldForeground2,#ECDFA5
colorPaletteGrapeBackground2,#4C0D55
colorPaletteGrapeBorderActive,#B55FC1
colorPaletteGrapeForeground2,#D9A7E0
colorPaletteGreenBackground1,#052505
colorPaletteGreenBackground2,#094509
colorPaletteGreenBackground3,#107C10
colorPaletteGreenBorder1,#107C10
colorPaletteGreenBorder2,#9FD89F
colorPaletteGreenBorderActive,#54B054
colorPaletteGreenForeground1,#54B054
colorPaletteGreenForeground2,#9FD89F
colorPaletteGreenForeground3,#9FD89F
colorPaletteGreenForegroundInverted,#107C10
colorPaletteLavenderBackground2,#3F3682
colorPaletteLavenderBorderActive,#A79CF1
colorPaletteLavenderForeground2,#D2CCF8
colorPaletteLightGreenBackground1,#063004
colorPaletteLightGreenBackground2,#0B5A08
colorPaletteLightGreenBackground3,#13A10E
colorPaletteLightGreenBorder1,#13A10E
colorPaletteLightGreenBorder2,#3DB838
colorPaletteLightGreenBorderActive,#5EC75A
colorPaletteLightGreenForeground1,#5EC75A
colorPaletteLightGreenForeground2,#A7E3A5
colorPaletteLightGreenForeground3,#3DB838
colorPaletteLightTealBackground2,#00666D
colorPaletteLightTealBorderActive,#58D3DB
colorPaletteLightTealForeground2,#A6E9ED
colorPaletteLilacBackground2,#63276D
colorPaletteLilacBorderActive,#CF87DA
colorPaletteLilacForeground2,#E6BFED
colorPaletteMagentaBackground2,#6B0043
colorPaletteMagentaBorderActive,#D957A8
colorPaletteMagentaForeground2,#ECA5D1
colorPaletteMarigoldBackground1,#463100
colorPaletteMarigoldBackground2,#835B00
colorPaletteMarigoldBackground3,#EAA300
colorPaletteMarigoldBorder1,#EAA300
colorPaletteMarigoldBorder2,#EFB839
colorPaletteMarigoldBorderActive,#F2C661
colorPaletteMarigoldForeground1,#F2C661
colorPaletteMarigoldForeground2,#F9E2AE
colorPaletteMarigoldForeground3,#EFB839
colorPaletteMinkBackground2,#343231
colorPaletteMinkBorderActive,#9E9B99
colorPaletteMinkForeground2,#CECCCB
colorPaletteNavyBackground2,#001665
colorPaletteNavyBorderActive,#546FD2
colorPaletteNavyForeground2,#A3B2E8
colorPalettePeachBackground2,#8F4E00
colorPalettePeachBorderActive,#FFBA66
colorPalettePeachForeground2,#FFDDB3
colorPalettePinkBackground2,#80215D
colorPalettePinkBorderActive,#EF85C8
colorPalettePinkForeground2,#F7C0E3
colorPalettePlatinumBackground2,#3B4447
colorPalettePlatinumBorderActive,#A0ADB2
colorPalettePlatinumForeground2,#CDD6D8
colorPalettePlumBackground2,#5A003B
colorPalettePlumBorderActive,#AD4589
colorPalettePlumForeground2,#D696C0
colorPalettePumpkinBackground2,#712D09
colorPalettePumpkinBorderActive,#DF8E64
colorPalettePumpkinForeground2,#EFC4AD
colorPalettePurpleBackground2,#341A51
colorPalettePurpleBorderActive,#9470BD
colorPalettePurpleForeground2,#C6B1DE
colorPaletteRedBackground1,#3F1011
colorPaletteRedBackground2,#751D1F
colorPaletteRedBackground3,#D13438
colorPaletteRedBorder1,#D13438
colorPaletteRedBorder2,#E37D80
colorPaletteRedBorderActive,#E37D80
colorPaletteRedForeground1,#E37D80
colorPaletteRedForeground2,#F1BBBC
colorPaletteRedForeground3,#E37D80
colorPaletteRedForegroundInverted,#D13438
colorPaletteRoyalBlueBackground2,#002C4E
colorPaletteRoyalBlueBorderActive,#4A89BA
colorPaletteRoyalBlueForeground2,#9ABFDC
colorPaletteSeafoamBackground2,#00723B
colorPaletteSeafoamBorderActive,#5AE0A0
colorPaletteSeafoamForeground2,#A8F0CD
colorPaletteSteelBackground2,#00333F
colorPaletteSteelBorderActive,#4496A9
colorPaletteSteelForeground2,#94C8D4
colorPaletteTealBackground2,#02494C
colorPaletteTealBorderActive,#4CB4B7
colorPaletteTealForeground2,#9BD9DB
colorPaletteYellowBackground1,#4C4400
colorPaletteYellowBackground2,#817400
colorPaletteYellowBackground3,#FDE300
colorPaletteYellowBorder1,#FDE300
colorPaletteYellowBorder2,#FDEA3D
colorPaletteYellowBorderActive,#FEEE66
colorPaletteYellowForeground1,#FEEE66
colorPaletteYellowForeground2,#FEF7B2
colorPaletteYellowForeground3,#FDEA3D
colorPaletteYellowForegroundInverted,#817400
colorScrollbarOverlay,"RGBA(255, 255, 255, 0.6)"
colorStatusDangerBackground1,#3B0509
colorStatusDangerBackground2,#6E0811
colorStatusDangerBackground3,#C50F1F
colorStatusDangerBackground3Hover,#B10E1C
colorStatusDangerBackground3Pressed,#960B18
colorStatusDangerBorder1,#C50F1F
colorStatusDangerBorder2,#DC626D
colorStatusDangerBorderActive,#DC626D
colorStatusDangerForeground1,#DC626D
colorStatusDangerForeground2,#EEACB2
colorStatusDangerForeground3,#EEACB2
colorStatusDangerForegroundInverted,#B10E1C
colorStatusSuccessBackground1,#052505
colorStatusSuccessBackground2,#094509
colorStatusSuccessBackground3,#107C10
colorStatusSuccessBorder1,#107C10
colorStatusSuccessBorder2,#9FD89F
colorStatusSuccessBorderActive,#54B054
colorStatusSuccessForeground1,#54B054
colorStatusSuccessForeground2,#9FD89F
colorStatusSuccessForeground3,#9FD89F
colorStatusSuccessForegroundInverted,#0E700E
colorStatusWarningBackground1,#4A1E04
colorStatusWarningBackground2,#8A3707
colorStatusWarningBackground3,#F7630C
colorStatusWarningBorder1,#F7630C
colorStatusWarningBorder2,#F98845
colorStatusWarningBorderActive,#FAA06B
colorStatusWarningForeground1,#FAA06B
colorStatusWarningForeground2,#FDCFB4
colorStatusWarningForeground3,#F98845
colorStatusWarningForegroundInverted,#BC4B09
colorStrokeFocus1,#000000
colorStrokeFocus2,#FFFFFF
colorSubtleBackground,TRANSPARENT
colorSubtleBackgroundHover,#383838
colorSubtleBackgroundInverted,TRANSPARENT
colorSubtleBackgroundInvertedHover,"RGBA(0, 0, 0, 0.1)"
colorSubtleBackgroundInvertedPressed,"RGBA(0, 0, 0, 0.3)"
colorSubtleBackgroundInvertedSelected,"RGBA(0, 0, 0, 0.2)"
colorSubtleBackgroundLightAlphaHover,"RGBA(36, 36, 36, 0.8)"
colorSubtleBackgroundLightAlphaPressed,"RGBA(36, 36, 36, 0.5)"
colorSubtleBackgroundLightAlphaSelected,TRANSPARENT
colorSubtleBackgroundPressed,#2E2E2E
colorSubtleBackgroundSelected,#333333
colorTransparentBackground,TRANSPARENT
colorTransparentBackgroundHover,TRANSPARENT
colorTransparentBackgroundPressed,TRANSPARENT
colorTransparentBackgroundSelected,TRANSPARENT
colorTransparentStroke,TRANSPARENT
colorTransparentStrokeDisabled,TRANSPARENT
colorTransparentStrokeInteractive,TRANSPARENT
