UID,DTSTAMP,DTSTART,DTEND,DURATION,SUMMARY,DESCRIPTION,LOCATION,STATUS,CLASS,TRANSP,PRIORITY,SEQUENCE,RRULE,EXDATE,RDATE,ATTENDEE,ORGANIZER,CATEGORIES,CREATED,LAST-MODIFIED,URL,ATTACH,Validation_Flag
95,20250826T1348,20250402T000000Z,20250402T000000Z,P1D,World Autism Awareness Day (Jainism),The Day 'recognises and celebrates the rights of persons with autism'.†,International,,,,,,,,,,,,,20250826T1348,,,
96,,20250404T000000Z,20250404T000000Z,P1D,Independence Day (Senegal),National Day of Senegal,Senegal,,,,,,,,,,,,,,,,REQUIRES_VALIDATION
97,20250826T1348,20250404T000000Z,20250404T000000Z,P1D,Qingming (Tomb Sweeping Day),Qingming is a time for Chinese people to show respect to their ancestors by visiting and cleaning their ancestors' tombs.,China,,,,,,,,,,,,,20250826T1348,,,
98,20250826T1348,20250407T000000Z,20250407T000000Z,P1D,Hung Vuong Festival,"The Hung Kings' Temple Festival is a Vietnamese festival held from the eighth to the eleventh day of the third lunar month in honour of the Hung Vuong or Hung Kings. The Festival commemorates the contributions of the Hung dynasty, who were the traditional founders of the nation and the first emperors of Vietnam. Since 2007 this has been a national holiday in Vietnam.",Vietnam,,,,,,,,,,,,,20250826T1348,,,
99,20250826T1348,20250407T000000Z,20250407T000000Z,P1D,World Health Day,,International,,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
100,20250826T1348,20250408T000000Z,20250408T000000Z,P1D,Hana Matsuri (Flower Festival),"In Japan, Buddha's Birthday is celebrated on 8 April. The day features the display of flowers at temples and the viewing of cherry blossoms throughout the country.",Buddhism,,,,,,,,,,,,,20250826T1348,,,
101,20250826T1348,20250409T000000Z,20250417T000000Z,P8D,NSW Youth Week,,Australia (NSW),,,,,,,,,,,,,20250826T1348,,,REQUIRES_VALIDATION
102,20250826T1348,20250410T000000Z,20250410T000000Z,P1D,Mahavir Jayanti ,This festival celebrates the day of Mahavira's birth. Jains will gather in temples to hear readings of the teachings of Mahavira. Images of Mahavira are paraded through the streets with much pomp and ceremony.,Hinduism,,,,,,,,,,,,,20250826T1348,,,
103,20250826T1348,20250412T000000Z,20250412T000000Z,P1D,Hanuman Jayanti,Hanuman Jayanti is a Hindu religious festival that celebrates the birth of the Hindu God Hanuman. Hanuman is highly venerated throughout India and Nepal. This festival is celebrated on different days across India.,Hinduism,,,,,,,,,,,,,20250826T1348,,,
104,20250826T1348,20250412T000000Z,20250421T000000Z,P10D,Passover,Passover is the first and most significant of the Jewish pilgrim festivals. It celebrates the redemption by God of the Jewish people from slavery in Egypt. Work is not permitted on the first two and last two days. Many Jews refrain from work during the whole festival.,Judaism,,,,,,,,,,,,,20250826T1348,,,
105,20250826T1348,20250413T000000Z,20250413T000000Z,P1D,Palm Sunday,The final Sunday before Easter Sunday marks the beginning of Christian Holy Week and commemorates the story of Jesus' arrival in Jerusalem before his crucifixion.,Christianity,,,,,,,,,,,,,20250826T1348,,,
106,20250826T1348,20250413T000000Z,20250413T000000Z,P1D,Songkran (Thai New Year),"Songkran is the Thai New Year and Water Festival. Thai, Laos, Cambodia, and Myanmar communities celebrate this festival with food, crafts and entertainment. Songkran begins on 13 April yearly and is recognised as a national holiday.",Buddhism,,,,,,,,,,,,,20250826T1348,,,
107,20250826T1348,20250413T000000Z,20250416T000000Z,P4D,Pii Mai (Lao New Year),"Lao New Year or Pii Mai is celebrated every year. The coming of the New Year isseen as an opportunity to let go of the past and embrace a promising new future. Water, which holds great symbolic value in Lao culture, is used to wash Buddha statues. Sand is brought to the temple grounds and is made into stupas or mounds, then decorated before being given to the monks as a way of making merit. People also splash water on each other during the celebrations that last three days.",Lao People's Democratic Republic,,,,,,,,,,,,,20250826T1348,,,
108,20250826T1348,20250413T000000Z,20250416T000000Z,P4D,Thingyan (Burmese New Year),"Thingyan is the most significant festival on the Myanmar calendar. It marks the start of the New Year, the beginning of the Myanmar lunar calendar and celebrates life and rebirth.",Burmese,,,,,,,,,,,,,20250826T1348,,,
109,20250826T1348,20250414T000000Z,20250414T000000Z,P1D,Aluth Avurudda (Sinhalese New Year),Aluth Ayurudda is a festival that marks the beginning of the solar New Year. It is traditionally celebrated by Sinhalese in Sri Lanka.,Hindu,,,,,,,,,,,,,20250826T1348,,,
110,20250826T1348,20250414T000000Z,20250414T000000Z,P1D,Maithil New Year,"Maithil New Year is celebrated by communities in various parts of India, including Tamil Nadu, Assam, Bengal, Kerala, Manipur, Orissa, Punjab and Tripura. It is also celebrated in Nepal.",Hinduism,,,,,,,,,,,,,20250826T1348,,,
111,20250826T1348,20250414T000000Z,20250414T000000Z,P1D,Navavarsha (Nepalese New Year),"Nepal relies upon more than one calendar. As such, residents of Nepal enjoy three New Year celebrations. These are the New Year on the Gregorian calendar, Tibetan New Year and Navavarsha. Navavarsha is typically held in the second week of April, the first day of Baisakh on the Bikram Sambat calendar. Nepal also celebrates the lunar new year (Sonam Lhosar) with a public holiday.",Nepalese,,,,,,,,,,,,,20250826T1348,,,
112,20250826T1348,20250414T000000Z,20250414T000000Z,P1D,Puthandu (Tamil New Year),"Puthandu, also known as Puthu-varusham, is the beginning of the solar new year. It is celebrated by Tamils around the world.",Hinduism,,,,,,,,,,,,,20250826T1348,,,
113,20250826T1348,20250414T000000Z,20250414T000000Z,P1D,Vaisakhi (Baisakhi) - Sikh New Year Festival,"Vaisakhi, also known as Baisakhi, is an ancient harvest festival that marks the beginning of a new solar year and harvest season. It is commonly celebrated by the Sikh community.",Sikhism,,,,,,,,,,,,,20250826T1348,,,
