Design Token,Light,Dark,Teams Light,Teams Dark,Teams High Contrast
colorBrandForegroundLinkPressed,#0C3B5E,#2886DE,#383966,#7579EB,#FFFF00
colorBrandForegroundLinkSelected,#115EA3,#479EF5,#4F52B2,#7F85F5,#FFFF00
colorBrandForegroundOnLight,#0F6CBD,#0F6CBD,#5B5FC7,#5B5FC7,#000000
colorBrandForegroundOnLightHover,#115EA3,#115EA3,#4F52B2,#4F52B2,#000000
colorBrandForegroundOnLightPressed,#0E4775,#0E4775,#3D3E78,#3D3E78,#000000
colorBrandForegroundOnLightSelected,#0F548C,#0F548C,#444791,#444791,#000000
colorBrandShadowAmbient,"RGBA(0,0,0,0.30)","RGBA(0,0,0,0.30)","RGBA(0,0,0,0.30)","RGBA(0,0,0,0.30)","RGBA(0,0,0,0.30)"
colorBrandShadowKey,"RGBA(0,0,0,0.25)","RGBA(0,0,0,0.25)","RGBA(0,0,0,0.25)","RGBA(0,0,0,0.25)","RGBA(0,0,0,0.25)"
colorBrandStroke1,#0F6CBD,#479EF5,#5B5FC7,#7F85F5,#FFFFFF
colorBrandStroke2,#B4D6FA,#0E4775,#C5CBFA,#3D3E78,#FFFFFF
colorBrandStroke2Contrast,#B4D6FA,#0E4775,#C5CBFA,#3D3E78,#000000
colorBrandStroke2Hover,#77B7F7,#0E4775,#AAB1FA,#3D3E78,#1AEBFF
colorBrandStroke2Pressed,#0F6CBD,#0A2E4A,#5B5FC7,#333357,#1AEBFF
colorCompoundBrandBackground,#0F6CBD,#479EF5,#5B5FC7,#7F85F5,#1AEBFF
colorCompoundBrandBackgroundHover,#115EA3,#62ABF5,#4F52B2,#9299F7,#1AEBFF
colorCompoundBrandBackgroundPressed,#0F548C,#2886DE,#444791,#7579EB,#1AEBFF
colorCompoundBrandForeground1,#0F6CBD,#479EF5,#5B5FC7,#7F85F5,#1AEBFF
colorCompoundBrandForeground1Hover,#115EA3,#62ABF5,#4F52B2,#9299F7,#1AEBFF
colorCompoundBrandForeground1Pressed,#0F548C,#2886DE,#444791,#7579EB,#1AEBFF
colorCompoundBrandStroke,#0F6CBD,#479EF5,#5B5FC7,#7579EB,#1AEBFF
colorCompoundBrandStrokeHover,#115EA3,#62ABF5,#4F52B2,#7F85F5,#1AEBFF
colorCompoundBrandStrokePressed,#0F548C,#2886DE,#444791,#5B5FC7,#1AEBFF
colorNeutralBackground1,#FFFFFF,#292929,#FFFFFF,#292929,#000000
colorNeutralBackground1Hover,#F5F5F5,#3D3D3D,#F5F5F5,#3D3D3D,#1AEBFF
colorNeutralBackground1Pressed,#E0E0E0,#1F1F1F,#E0E0E0,#1F1F1F,#1AEBFF
colorNeutralBackground1Selected,#EBEBEB,#383838,#EBEBEB,#383838,#1AEBFF
colorNeutralBackground2,#FAFAFA,#1F1F1F,#FAFAFA,#242424,#000000
colorNeutralBackground2Hover,#F0F0F0,#333333,#F0F0F0,#383838,#1AEBFF
colorNeutralBackground2Pressed,#DBDBDB,#141414,#DBDBDB,#1A1A1A,#1AEBFF
colorNeutralBackground2Selected,#E6E6E6,#2E2E2E,#E6E6E6,#333333,#1AEBFF
colorNeutralBackground3,#F5F5F5,#141414,#F5F5F5,#1F1F1F,#000000
colorNeutralBackground3Hover,#EBEBEB,#292929,#EBEBEB,#333333,#1AEBFF
colorNeutralBackground3Pressed,#D6D6D6,#0A0A0A,#D6D6D6,#141414,#1AEBFF
colorNeutralBackground3Selected,#E0E0E0,#242424,#E0E0E0,#2E2E2E,#1AEBFF
colorNeutralBackground4,#F0F0F0,#0A0A0A,#F0F0F0,#141414,#000000
colorNeutralBackground4Hover,#FAFAFA,#1F1F1F,#FAFAFA,#292929,#1AEBFF
colorNeutralBackground4Pressed,#F5F5F5,#000000,#F5F5F5,#0A0A0A,#1AEBFF
colorNeutralBackground4Selected,#FFFFFF,#1A1A1A,#FFFFFF,#242424,#1AEBFF
colorNeutralBackground5,#EBEBEB,#000000,#EBEBEB,#0A0A0A,#000000
colorNeutralBackground5Hover,#F5F5F5,#141414,#F5F5F5,#1F1F1F,#1AEBFF
colorNeutralBackground5Pressed,#F0F0F0,#050505,#F0F0F0,#000000,#1AEBFF
colorNeutralBackground5Selected,#FAFAFA,#0F0F0F,#FAFAFA,#1A1A1A,#1AEBFF
colorNeutralBackground6,#E6E6E6,#333333,#E6E6E6,#333333,#000000
colorNeutralBackgroundAlpha,"RGBA(255, 255, 255, 0.5)","RGBA(26, 26, 26, 0.5)","RGBA(255, 255, 255, 0.5)","RGBA(26, 26, 26, 0.5)",#000000
colorNeutralBackgroundAlpha2,"RGBA(255, 255, 255, 0.8)","RGBA(31, 31, 31, 0.7)","RGBA(255, 255, 255, 0.8)","RGBA(31, 31, 31, 0.7)",#000000
colorNeutralBackgroundDisabled,#F0F0F0,#141414,#F0F0F0,#141414,#000000
colorNeutralBackgroundInverted,#292929,#FFFFFF,#292929,#FFFFFF,#000000
colorNeutralBackgroundInvertedDisabled,"RGBA(255, 255, 255, 0.1)","RGBA(255, 255, 255, 0.1)","RGBA(255, 255, 255, 0.1)","RGBA(255, 255, 255, 0.1)",#000000
colorNeutralBackgroundStatic,#333333,#3D3D3D,#333333,#3D3D3D,#000000
colorNeutralCardBackground,#FAFAFA,#333333,#FAFAFA,#333333,#000000
colorNeutralCardBackgroundDisabled,#F0F0F0,#141414,#F0F0F0,#141414,#000000
colorNeutralCardBackgroundHover,#FFFFFF,#3D3D3D,#FFFFFF,#3D3D3D,#1AEBFF
colorNeutralCardBackgroundPressed,#F5F5F5,#2E2E2E,#F5F5F5,#2E2E2E,#1AEBFF
colorNeutralCardBackgroundSelected,#EBEBEB,#383838,#EBEBEB,#383838,#1AEBFF
colorNeutralForeground1,#242424,#FFFFFF,#242424,#FFFFFF,#FFFFFF
colorNeutralForeground1Hover,#242424,#FFFFFF,#242424,#FFFFFF,#000000
colorNeutralForeground1Pressed,#242424,#FFFFFF,#242424,#FFFFFF,#000000
colorNeutralForeground1Selected,#242424,#FFFFFF,#242424,#FFFFFF,#000000
colorNeutralForeground1Static,#242424,#242424,#242424,#242424,#000000
colorNeutralForeground2,#424242,#D6D6D6,#424242,#D6D6D6,#FFFFFF
colorNeutralForeground2BrandHover,#0F6CBD,#479EF5,#5B5FC7,#7F85F5,#000000
colorNeutralForeground2BrandPressed,#115EA3,#2886DE,#4F52B2,#7579EB,#000000
colorNeutralForeground2BrandSelected,#0F6CBD,#479EF5,#5B5FC7,#7F85F5,#000000
colorNeutralForeground2Hover,#242424,#FFFFFF,#242424,#FFFFFF,#000000
colorNeutralForeground2Link,#424242,#D6D6D6,#424242,#D6D6D6,#FFFF00
colorNeutralForeground2LinkHover,#242424,#FFFFFF,#242424,#FFFFFF,#FFFF00
colorNeutralForeground2LinkPressed,#242424,#FFFFFF,#242424,#FFFFFF,#FFFF00
colorNeutralForeground2LinkSelected,#242424,#FFFFFF,#242424,#FFFFFF,#FFFF00
colorNeutralForeground2Pressed,#242424,#FFFFFF,#242424,#FFFFFF,#000000
colorNeutralForeground2Selected,#242424,#FFFFFF,#242424,#FFFFFF,#000000
colorNeutralForeground3,#616161,#ADADAD,#616161,#ADADAD,#FFFFFF
colorNeutralForeground3BrandHover,#0F6CBD,#479EF5,#5B5FC7,#7F85F5,#000000
colorNeutralForeground3BrandPressed,#115EA3,#2886DE,#4F52B2,#7579EB,#000000
colorNeutralForeground3BrandSelected,#0F6CBD,#479EF5,#5B5FC7,#7F85F5,#000000
colorNeutralForeground3Hover,#424242,#D6D6D6,#424242,#D6D6D6,#000000
colorNeutralForeground3Pressed,#424242,#D6D6D6,#424242,#D6D6D6,#000000
colorNeutralForeground3Selected,#424242,#D6D6D6,#424242,#D6D6D6,#000000
colorNeutralForeground4,#707070,#999999,#707070,#999999,#FFFFFF
colorNeutralForegroundDisabled,#BDBDBD,#5C5C5C,#BDBDBD,#5C5C5C,#3FF23F
colorNeutralForegroundInverted,#FFFFFF,#242424,#FFFFFF,#242424,#000000
colorNeutralForegroundInverted2,#FFFFFF,#242424,#FFFFFF,#242424,#FFFFFF
colorNeutralForegroundInvertedDisabled,"RGBA(255, 255, 255, 0.4)","RGBA(255, 255, 255, 0.4)","RGBA(255, 255, 255, 0.4)","RGBA(255, 255, 255, 0.4)",#3FF23F
colorNeutralForegroundInvertedHover,#FFFFFF,#242424,#FFFFFF,#242424,#000000
colorNeutralForegroundInvertedLink,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFF00
colorNeutralForegroundInvertedLinkHover,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFF00
colorNeutralForegroundInvertedLinkPressed,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFF00
colorNeutralForegroundInvertedLinkSelected,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFF00
colorNeutralForegroundInvertedPressed,#FFFFFF,#242424,#FFFFFF,#242424,#000000
colorNeutralForegroundInvertedSelected,#FFFFFF,#242424,#FFFFFF,#242424,#000000
colorNeutralForegroundOnBrand,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#000000
colorNeutralForegroundStaticInverted,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
colorNeutralShadowAmbient,"RGBA(0,0,0,0.12)","RGBA(0,0,0,0.24)","RGBA(0,0,0,0.12)","RGBA(0,0,0,0.24)","RGBA(0,0,0,0.24)"
colorNeutralShadowAmbientDarker,"RGBA(0,0,0,0.20)","RGBA(0,0,0,0.40)","RGBA(0,0,0,0.20)","RGBA(0,0,0,0.40)","RGBA(0,0,0,0.40)"
colorNeutralShadowAmbientLighter,"RGBA(0,0,0,0.06)","RGBA(0,0,0,0.12)","RGBA(0,0,0,0.06)","RGBA(0,0,0,0.12)","RGBA(0,0,0,0.12)"
colorNeutralShadowKey,"RGBA(0,0,0,0.14)","RGBA(0,0,0,0.28)","RGBA(0,0,0,0.14)","RGBA(0,0,0,0.28)","RGBA(0,0,0,0.28)"
colorNeutralShadowKeyDarker,"RGBA(0,0,0,0.24)","RGBA(0,0,0,0.48)","RGBA(0,0,0,0.24)","RGBA(0,0,0,0.48)","RGBA(0,0,0,0.48)"
colorNeutralShadowKeyLighter,"RGBA(0,0,0,0.07)","RGBA(0,0,0,0.14)","RGBA(0,0,0,0.07)","RGBA(0,0,0,0.14)","RGBA(0,0,0,0.14)"
colorNeutralStencil1,#E6E6E6,#575757,#E6E6E6,#575757,#FFFFFF
colorNeutralStencil1Alpha,"RGBA(0, 0, 0, 0.1)","RGBA(255, 255, 255, 0.1)","RGBA(0, 0, 0, 0.1)","RGBA(255, 255, 255, 0.1)",#FFFFFF
colorNeutralStencil2,#FAFAFA,#333333,#FAFAFA,#333333,#FFFFFF
colorNeutralStencil2Alpha,"RGBA(0, 0, 0, 0.05)","RGBA(255, 255, 255, 0.05)","RGBA(0, 0, 0, 0.05)","RGBA(255, 255, 255, 0.05)",#FFFFFF
colorNeutralStroke1,#D1D1D1,#666666,#D1D1D1,#666666,#FFFFFF
colorNeutralStroke1Hover,#C7C7C7,#757575,#C7C7C7,#757575,#1AEBFF
colorNeutralStroke1Pressed,#B3B3B3,#6B6B6B,#B3B3B3,#6B6B6B,#1AEBFF
colorNeutralStroke1Selected,#BDBDBD,#707070,#BDBDBD,#707070,#1AEBFF
colorNeutralStroke2,#E0E0E0,#525252,#E0E0E0,#525252,#FFFFFF
colorNeutralStroke3,#F0F0F0,#3D3D3D,#F0F0F0,#3D3D3D,#FFFFFF
colorNeutralStrokeAccessible,#616161,#ADADAD,#616161,#ADADAD,#FFFFFF
colorNeutralStrokeAccessibleHover,#575757,#BDBDBD,#575757,#BDBDBD,#1AEBFF
colorNeutralStrokeAccessiblePressed,#4D4D4D,#B3B3B3,#4D4D4D,#B3B3B3,#1AEBFF
colorNeutralStrokeAccessibleSelected,#0F6CBD,#479EF5,#5B5FC7,#7F85F5,#1AEBFF
colorNeutralStrokeAlpha,"RGBA(0, 0, 0, 0.05)","RGBA(255, 255, 255, 0.1)","RGBA(0, 0, 0, 0.05)","RGBA(255, 255, 255, 0.1)",#FFFFFF
colorNeutralStrokeAlpha2,"RGBA(255, 255, 255, 0.2)","RGBA(255, 255, 255, 0.2)","RGBA(255, 255, 255, 0.2)","RGBA(255, 255, 255, 0.2)",#000000
colorNeutralStrokeDisabled,#E0E0E0,#424242,#E0E0E0,#424242,#3FF23F
colorNeutralStrokeInvertedDisabled,"RGBA(255, 255, 255, 0.4)","RGBA(255, 255, 255, 0.4)","RGBA(255, 255, 255, 0.4)","RGBA(255, 255, 255, 0.4)",#3FF23F
colorNeutralStrokeOnBrand,#FFFFFF,#292929,#FFFFFF,#292929,#000000
colorNeutralStrokeOnBrand2,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
colorNeutralStrokeOnBrand2Hover,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
colorNeutralStrokeOnBrand2Pressed,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
colorNeutralStrokeOnBrand2Selected,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
colorNeutralStrokeSubtle,#E0E0E0,#0A0A0A,#E0E0E0,#0A0A0A,#FFFFFF
colorPaletteAnchorBackground2,#BCC3C7,#202427,#BCC3C7,#202427,#000000
colorPaletteAnchorBorderActive,#394146,#808A90,#394146,#808A90,#1AEBFF
colorPaletteAnchorForeground2,#202427,#BCC3C7,#202427,#BCC3C7,#FFFFFF
colorPaletteBeigeBackground2,#D7D4D4,#444241,#D7D4D4,#444241,#000000
colorPaletteBeigeBorderActive,#7A7574,#AFABAA,#7A7574,#AFABAA,#1AEBFF
colorPaletteBeigeForeground2,#444241,#D7D4D4,#444241,#D7D4D4,#FFFFFF
colorPaletteBerryBackground1,#FDF5FC,#3A1136,#FDF5FC,#3A1136,#000000
colorPaletteBerryBackground2,#EDBBE7,#6D2064,#EDBBE7,#6D2064,#000000
colorPaletteBerryBackground3,#C239B3,#C239B3,#C239B3,#C239B3,#FFFFFF
colorPaletteBerryBorder1,#EDBBE7,#C239B3,#EDBBE7,#C239B3,#FFFFFF
colorPaletteBerryBorder2,#C239B3,#D161C4,#C239B3,#D161C4,#FFFFFF
colorPaletteBerryBorderActive,#C239B3,#DA7ED0,#C239B3,#DA7ED0,#1AEBFF
colorPaletteBerryForeground1,#AF33A1,#DA7ED0,#AF33A1,#DA7ED0,#FFFFFF
colorPaletteBerryForeground2,#6D2064,#EDBBE7,#6D2064,#EDBBE7,#FFFFFF
colorPaletteBerryForeground3,#C239B3,#D161C4,#C239B3,#D161C4,#FFFFFF
colorPaletteBlueBackground2,#A9D3F2,#004377,#A9D3F2,#004377,#000000
colorPaletteBlueBorderActive,#0078D4,#5CAAE5,#0078D4,#5CAAE5,#1AEBFF
colorPaletteBlueForeground2,#004377,#A9D3F2,#004377,#A9D3F2,#FFFFFF
colorPaletteBrassBackground2,#E0CEA2,#553E06,#E0CEA2,#553E06,#000000
colorPaletteBrassBorderActive,#986F0B,#C1A256,#986F0B,#C1A256,#1AEBFF
colorPaletteBrassForeground2,#553E06,#E0CEA2,#553E06,#E0CEA2,#FFFFFF
colorPaletteBrownBackground2,#DDC3B0,#50301A,#DDC3B0,#50301A,#000000
colorPaletteBrownBorderActive,#8E562E,#BB8F6F,#8E562E,#BB8F6F,#1AEBFF
colorPaletteBrownForeground2,#50301A,#DDC3B0,#50301A,#DDC3B0,#FFFFFF
colorPaletteCornflowerBackground2,#C8D1FA,#2C3C85,#C8D1FA,#2C3C85,#000000
colorPaletteCornflowerBorderActive,#4F6BED,#93A4F4,#4F6BED,#93A4F4,#1AEBFF
colorPaletteCornflowerForeground2,#2C3C85,#C8D1FA,#2C3C85,#C8D1FA,#FFFFFF
colorPaletteCranberryBackground2,#EEACB2,#6E0811,#EEACB2,#6E0811,#000000
colorPaletteCranberryBorderActive,#C50F1F,#DC626D,#C50F1F,#DC626D,#1AEBFF
colorPaletteCranberryForeground2,#6E0811,#EEACB2,#6E0811,#EEACB2,#FFFFFF
colorPaletteDarkGreenBackground2,#9AD29A,#063B06,#9AD29A,#063B06,#000000
colorPaletteDarkGreenBorderActive,#0B6A0B,#4DA64D,#0B6A0B,#4DA64D,#1AEBFF
colorPaletteDarkGreenForeground2,#063B06,#9AD29A,#063B06,#9AD29A,#FFFFFF
colorPaletteDarkOrangeBackground1,#FDF6F3,#411200,#FDF6F3,#411200,#000000
colorPaletteDarkOrangeBackground2,#F4BFAB,#7A2101,#F4BFAB,#7A2101,#000000
colorPaletteDarkOrangeBackground3,#DA3B01,#DA3B01,#DA3B01,#DA3B01,#FFFFFF
colorPaletteDarkOrangeBorder1,#F4BFAB,#DA3B01,#F4BFAB,#DA3B01,#FFFFFF
colorPaletteDarkOrangeBorder2,#DA3B01,#E9835E,#DA3B01,#E9835E,#FFFFFF
colorPaletteDarkOrangeBorderActive,#DA3B01,#E9835E,#DA3B01,#E9835E,#1AEBFF
colorPaletteDarkOrangeForeground1,#C43501,#E9835E,#C43501,#E9835E,#FFFFFF
colorPaletteDarkOrangeForeground2,#7A2101,#F4BFAB,#7A2101,#F4BFAB,#FFFFFF
colorPaletteDarkOrangeForeground3,#DA3B01,#E9835E,#DA3B01,#E9835E,#FFFFFF
colorPaletteDarkRedBackground2,#D69CA5,#590815,#D69CA5,#590815,#000000
colorPaletteDarkRedBorderActive,#750B1C,#AC4F5E,#750B1C,#AC4F5E,#1AEBFF
colorPaletteDarkRedForeground2,#420610,#D69CA5,#420610,#D69CA5,#FFFFFF
colorPaletteForestBackground2,#BDD99B,#294903,#BDD99B,#294903,#000000
colorPaletteForestBorderActive,#498205,#85B44C,#498205,#85B44C,#1AEBFF
colorPaletteForestForeground2,#294903,#BDD99B,#294903,#BDD99B,#FFFFFF
colorPaletteGoldBackground2,#ECDFA5,#6C5700,#ECDFA5,#6C5700,#000000
colorPaletteGoldBorderActive,#C19C00,#DAC157,#C19C00,#DAC157,#1AEBFF
colorPaletteGoldForeground2,#6C5700,#ECDFA5,#6C5700,#ECDFA5,#FFFFFF
colorPaletteGrapeBackground2,#D9A7E0,#4C0D55,#D9A7E0,#4C0D55,#000000
colorPaletteGrapeBorderActive,#881798,#B55FC1,#881798,#B55FC1,#1AEBFF
colorPaletteGrapeForeground2,#4C0D55,#D9A7E0,#4C0D55,#D9A7E0,#FFFFFF
colorPaletteGreenBackground1,#F1FAF1,#052505,#F1FAF1,#052505,#000000
colorPaletteGreenBackground2,#9FD89F,#094509,#9FD89F,#094509,#000000
colorPaletteGreenBackground3,#107C10,#107C10,#107C10,#107C10,#FFFFFF
colorPaletteGreenBorder1,#9FD89F,#107C10,#9FD89F,#107C10,#FFFFFF
colorPaletteGreenBorder2,#107C10,#9FD89F,#107C10,#9FD89F,#FFFFFF
colorPaletteGreenBorderActive,#107C10,#54B054,#107C10,#54B054,#1AEBFF
colorPaletteGreenForeground1,#0E700E,#54B054,#0E700E,#54B054,#FFFFFF
colorPaletteGreenForeground2,#094509,#9FD89F,#094509,#9FD89F,#FFFFFF
colorPaletteGreenForeground3,#107C10,#9FD89F,#107C10,#9FD89F,#FFFFFF
colorPaletteGreenForegroundInverted,#359B35,#107C10,#359B35,#107C10,#FFFFFF
colorPaletteLavenderBackground2,#D2CCF8,#3F3682,#D2CCF8,#3F3682,#000000
colorPaletteLavenderBorderActive,#7160E8,#A79CF1,#7160E8,#A79CF1,#1AEBFF
colorPaletteLavenderForeground2,#3F3682,#D2CCF8,#3F3682,#D2CCF8,#FFFFFF
colorPaletteLightGreenBackground1,#F2FBF2,#063004,#F2FBF2,#063004,#000000
colorPaletteLightGreenBackground2,#A7E3A5,#0B5A08,#A7E3A5,#0B5A08,#000000
colorPaletteLightGreenBackground3,#13A10E,#13A10E,#13A10E,#13A10E,#FFFFFF
colorPaletteLightGreenBorder1,#A7E3A5,#13A10E,#A7E3A5,#13A10E,#FFFFFF
colorPaletteLightGreenBorder2,#13A10E,#3DB838,#13A10E,#3DB838,#FFFFFF
colorPaletteLightGreenBorderActive,#13A10E,#5EC75A,#13A10E,#5EC75A,#1AEBFF
colorPaletteLightGreenForeground1,#11910D,#5EC75A,#11910D,#5EC75A,#FFFFFF
colorPaletteLightGreenForeground2,#0B5A08,#A7E3A5,#0B5A08,#A7E3A5,#FFFFFF
colorPaletteLightGreenForeground3,#13A10E,#3DB838,#13A10E,#3DB838,#FFFFFF
colorPaletteLightTealBackground2,#A6E9ED,#00666D,#A6E9ED,#00666D,#000000
colorPaletteLightTealBorderActive,#00B7C3,#58D3DB,#00B7C3,#58D3DB,#1AEBFF
colorPaletteLightTealForeground2,#00666D,#A6E9ED,#00666D,#A6E9ED,#FFFFFF
colorPaletteLilacBackground2,#E6BFED,#63276D,#E6BFED,#63276D,#000000
colorPaletteLilacBorderActive,#B146C2,#CF87DA,#B146C2,#CF87DA,#1AEBFF
colorPaletteLilacForeground2,#63276D,#E6BFED,#63276D,#E6BFED,#FFFFFF
colorPaletteMagentaBackground2,#ECA5D1,#6B0043,#ECA5D1,#6B0043,#000000
colorPaletteMagentaBorderActive,#BF0077,#D957A8,#BF0077,#D957A8,#1AEBFF
colorPaletteMagentaForeground2,#6B0043,#ECA5D1,#6B0043,#ECA5D1,#FFFFFF
colorPaletteMarigoldBackground1,#FEFBF4,#463100,#FEFBF4,#463100,#000000
colorPaletteMarigoldBackground2,#F9E2AE,#835B00,#F9E2AE,#835B00,#000000
colorPaletteMarigoldBackground3,#EAA300,#EAA300,#EAA300,#EAA300,#FFFFFF
colorPaletteMarigoldBorder1,#F9E2AE,#EAA300,#F9E2AE,#EAA300,#FFFFFF
colorPaletteMarigoldBorder2,#EAA300,#EFB839,#EAA300,#EFB839,#FFFFFF
colorPaletteMarigoldBorderActive,#EAA300,#F2C661,#EAA300,#F2C661,#1AEBFF
colorPaletteMarigoldForeground1,#D39300,#F2C661,#D39300,#F2C661,#FFFFFF
colorPaletteMarigoldForeground2,#835B00,#F9E2AE,#835B00,#F9E2AE,#FFFFFF
colorPaletteMarigoldForeground3,#EAA300,#EFB839,#EAA300,#EFB839,#FFFFFF
colorPaletteMinkBackground2,#CECCCB,#343231,#CECCCB,#343231,#000000
colorPaletteMinkBorderActive,#5D5A58,#9E9B99,#5D5A58,#9E9B99,#1AEBFF
colorPaletteMinkForeground2,#343231,#CECCCB,#343231,#CECCCB,#FFFFFF
colorPaletteNavyBackground2,#A3B2E8,#001665,#A3B2E8,#001665,#000000
colorPaletteNavyBorderActive,#0027B4,#546FD2,#0027B4,#546FD2,#1AEBFF
colorPaletteNavyForeground2,#001665,#A3B2E8,#001665,#A3B2E8,#FFFFFF
colorPalettePeachBackground2,#FFDDB3,#8F4E00,#FFDDB3,#8F4E00,#000000
colorPalettePeachBorderActive,#FF8C00,#FFBA66,#FF8C00,#FFBA66,#1AEBFF
colorPalettePeachForeground2,#8F4E00,#FFDDB3,#8F4E00,#FFDDB3,#FFFFFF
colorPalettePinkBackground2,#F7C0E3,#80215D,#F7C0E3,#80215D,#000000
colorPalettePinkBorderActive,#E43BA6,#EF85C8,#E43BA6,#EF85C8,#1AEBFF
colorPalettePinkForeground2,#80215D,#F7C0E3,#80215D,#F7C0E3,#FFFFFF
colorPalettePlatinumBackground2,#CDD6D8,#3B4447,#CDD6D8,#3B4447,#000000
colorPalettePlatinumBorderActive,#69797E,#A0ADB2,#69797E,#A0ADB2,#1AEBFF
colorPalettePlatinumForeground2,#3B4447,#CDD6D8,#3B4447,#CDD6D8,#FFFFFF
colorPalettePlumBackground2,#D696C0,#5A003B,#D696C0,#5A003B,#000000
colorPalettePlumBorderActive,#77004D,#AD4589,#77004D,#AD4589,#1AEBFF
colorPalettePlumForeground2,#43002B,#D696C0,#43002B,#D696C0,#FFFFFF
colorPalettePumpkinBackground2,#EFC4AD,#712D09,#EFC4AD,#712D09,#000000
colorPalettePumpkinBorderActive,#CA5010,#DF8E64,#CA5010,#DF8E64,#1AEBFF
colorPalettePumpkinForeground2,#712D09,#EFC4AD,#712D09,#EFC4AD,#FFFFFF
colorPalettePurpleBackground2,#C6B1DE,#341A51,#C6B1DE,#341A51,#000000
colorPalettePurpleBorderActive,#5C2E91,#9470BD,#5C2E91,#9470BD,#1AEBFF
colorPalettePurpleForeground2,#341A51,#C6B1DE,#341A51,#C6B1DE,#FFFFFF
colorPaletteRedBackground1,#FDF6F6,#3F1011,#FDF6F6,#3F1011,#000000
colorPaletteRedBackground2,#F1BBBC,#751D1F,#F1BBBC,#751D1F,#000000
colorPaletteRedBackground3,#D13438,#D13438,#D13438,#D13438,#FFFFFF
colorPaletteRedBorder1,#F1BBBC,#D13438,#F1BBBC,#D13438,#FFFFFF
colorPaletteRedBorder2,#D13438,#E37D80,#D13438,#E37D80,#FFFFFF
colorPaletteRedBorderActive,#D13438,#E37D80,#D13438,#E37D80,#1AEBFF
colorPaletteRedForeground1,#BC2F32,#E37D80,#BC2F32,#E37D80,#FFFFFF
colorPaletteRedForeground2,#751D1F,#F1BBBC,#751D1F,#F1BBBC,#FFFFFF
colorPaletteRedForeground3,#D13438,#E37D80,#D13438,#E37D80,#FFFFFF
colorPaletteRedForegroundInverted,#DC5E62,#D13438,#DC5E62,#D13438,#FFFFFF
